0, tensor([0.0005]), fsolve flag:1, 7.450580596923828e-08, 1571
1, tensor([0.0005]), fsolve flag:1, 8.195638656616211e-08, 796
2, tensor([0.0003]), fsolve flag:5, 6.332993507385254e-08, 1310
3, tensor([0.0004]), fsolve flag:5, 1.7881393432617188e-07, 792
4, tensor([0.0004]), fsolve flag:5, 8.940696716308594e-08, 1055
5, tensor([0.0004]), fsolve flag:5, 8.940696716308594e-08, 1568
6, tensor([0.0005]), fsolve flag:1, 7.450580596923828e-08, 1572
7, tensor([0.0003]), fsolve flag:5, 7.636845111846924e-08, 1568
8, tensor([0.0006]), fsolve flag:1, 9.685754776000977e-08, 1312
9, tensor([0.0008]), fsolve flag:1, 1.1920928955078125e-07, 2089
10, tensor([0.0002]), fsolve flag:4, 1.1175870895385742e-07, 1822
11, tensor([0.0004]), fsolve flag:5, 9.499490261077881e-08, 1053
12, tensor([0.0009]), fsolve flag:5, 6.332993507385254e-08, 1052
13, tensor([0.0007]), fsolve flag:5, 6.705522537231445e-08, 1831
14, tensor([0.0007]), fsolve flag:5, 1.0058283805847168e-07, 1568
15, tensor([0.0004]), fsolve flag:5, 7.82310962677002e-08, 1573
16, tensor([0.0005]), fsolve flag:5, 1.5273690223693848e-07, 525
17, tensor([0.0008]), fsolve flag:5, 7.450580596923828e-08, 1051
18, tensor([0.0004]), fsolve flag:1, 9.313225746154785e-08, 1311
19, tensor([0.0005]), fsolve flag:5, 1.043081283569336e-07, 1052
20, tensor([0.0004]), fsolve flag:1, 7.078051567077637e-08, 1054
21, tensor([0.0007]), fsolve flag:4, 8.568167686462402e-08, 1825
22, tensor([0.0005]), fsolve flag:1, 7.450580596923828e-08, 1830
23, tensor([0.0006]), fsolve flag:5, 9.313225746154785e-08, 792
24, tensor([0.0009]), fsolve flag:5, 9.313225746154785e-08, 1570
25, tensor([0.0004]), fsolve flag:1, 7.729977369308472e-08, 1568
26, tensor([0.0003]), fsolve flag:4, 7.078051567077637e-08, 1829
27, tensor([0.0008]), fsolve flag:1, 1.1920928955078125e-07, 1313
28, tensor([0.0006]), fsolve flag:5, 1.0803341865539551e-07, 1309
29, tensor([0.0004]), fsolve flag:5, 1.043081283569336e-07, 1574
30, tensor([0.0004]), fsolve flag:5, 1.0803341865539551e-07, 792
31, tensor([0.0008]), fsolve flag:1, 7.380731403827667e-08, 1314
32, tensor([0.0014]), fsolve flag:5, 8.940696716308594e-08, 1566
33, tensor([0.0003]), fsolve flag:1, 7.450580596923828e-08, 1055
34, tensor([0.0004]), fsolve flag:1, 1.1175870895385742e-07, 1316
35, tensor([0.0003]), fsolve flag:5, 8.940696716308594e-08, 1052
36, tensor([0.0004]), fsolve flag:1, 9.685754776000977e-08, 1832
37, tensor([0.0005]), fsolve flag:1, 1.1175870895385742e-07, 1570
38, tensor([0.0006]), fsolve flag:1, 1.043081283569336e-07, 1833
39, tensor([0.0007]), fsolve flag:1, 9.685754776000977e-08, 1571
40, tensor([0.0003]), fsolve flag:1, 7.82310962677002e-08, 1571
41, tensor([0.0004]), fsolve flag:1, 1.043081283569336e-07, 1575
42, tensor([0.0004]), fsolve flag:1, 1.043081283569336e-07, 1570
43, tensor([0.0009]), fsolve flag:4, 9.313225746154785e-08, 2347
44, tensor([0.0009]), fsolve flag:5, 8.66129994392395e-08, 1573
45, tensor([0.0004]), fsolve flag:1, 1.0058283805847168e-07, 1054
46, tensor([0.0005]), fsolve flag:5, 6.705522537231445e-08, 1568
47, tensor([0.0005]), fsolve flag:1, 9.685754776000977e-08, 1572
48, tensor([0.0007]), fsolve flag:1, 8.195638656616211e-08, 1568
49, tensor([0.0010]), fsolve flag:5, 7.450580596923828e-08, 786
50, tensor([0.0004]), fsolve flag:1, 8.568167686462402e-08, 1574
51, tensor([0.0005]), fsolve flag:5, 1.5529803931713104e-07, 1052
52, tensor([0.0006]), fsolve flag:5, 9.685754776000977e-08, 1311
53, tensor([0.0005]), fsolve flag:5, 1.341104507446289e-07, 533
54, tensor([0.0006]), fsolve flag:1, 7.82310962677002e-08, 1312
55, tensor([0.0004]), fsolve flag:4, 8.940696716308594e-08, 1566
56, tensor([0.0003]), fsolve flag:4, 7.078051567077637e-08, 2080
57, tensor([0.0003]), fsolve flag:5, 7.450580596923828e-08, 793
58, tensor([0.0007]), fsolve flag:1, 1.1920928955078125e-07, 1571
59, tensor([0.0005]), fsolve flag:5, 7.636845111846924e-08, 1310
60, tensor([0.0009]), fsolve flag:1, 8.568167686462402e-08, 1829
61, tensor([0.0006]), fsolve flag:1, 7.450580596923828e-08, 1311
62, tensor([0.0005]), fsolve flag:1, 9.685754776000977e-08, 1318
63, tensor([0.0005]), fsolve flag:5, 1.4156103134155273e-07, 525
64, tensor([0.0005]), fsolve flag:1, 6.705522537231445e-08, 1314
65, tensor([0.0003]), fsolve flag:5, 7.450580596923828e-08, 1312
66, tensor([0.0004]), fsolve flag:1, 6.705522537231445e-08, 1570
67, tensor([0.0005]), fsolve flag:5, 9.12696123123169e-08, 1311
68, tensor([0.0004]), fsolve flag:5, 7.82310962677002e-08, 1052
69, tensor([0.0004]), fsolve flag:5, 9.499490261077881e-08, 1568
70, tensor([0.0007]), fsolve flag:1, 1.043081283569336e-07, 1312
71, tensor([0.0003]), fsolve flag:1, 9.313225746154785e-08, 1571
72, tensor([0.0004]), fsolve flag:1, 9.685754776000977e-08, 1569
73, tensor([0.0006]), fsolve flag:1, 6.332993507385254e-08, 1312
74, tensor([0.0005]), fsolve flag:5, 1.1920928955078125e-07, 1835
75, tensor([0.0003]), fsolve flag:4, 1.30385160446167e-07, 1821
76, tensor([0.0006]), fsolve flag:1, 8.568167686462402e-08, 1314
77, tensor([0.0003]), fsolve flag:1, 1.043081283569336e-07, 1311
78, tensor([0.0005]), fsolve flag:4, 1.043081283569336e-07, 1828
79, tensor([0.0008]), fsolve flag:1, 9.313225746154785e-08, 1058
80, tensor([0.0004]), fsolve flag:5, 1.3597309589385986e-07, 1312
81, tensor([0.0006]), fsolve flag:1, 7.450580596923828e-08, 1573
82, tensor([0.0004]), fsolve flag:5, 7.450580596923828e-08, 1831
83, tensor([0.0004]), fsolve flag:1, 1.0908115655183792e-07, 1310
84, tensor([0.0003]), fsolve flag:5, 7.450580596923828e-08, 1830
85, tensor([0.0006]), fsolve flag:5, 8.009374141693115e-08, 794
86, tensor([0.0008]), fsolve flag:5, 8.568167686462402e-08, 537
87, tensor([0.0004]), fsolve flag:1, 1.1175870895385742e-07, 1571
88, tensor([0.0005]), fsolve flag:1, 8.638016879558563e-08, 1569
89, tensor([0.0005]), fsolve flag:1, 7.078051567077637e-08, 1313
90, tensor([0.0005]), fsolve flag:4, 7.82310962677002e-08, 2083
91, tensor([0.0004]), fsolve flag:1, 7.450580596923828e-08, 1313
92, tensor([0.0008]), fsolve flag:1, 1.043081283569336e-07, 1316
93, tensor([0.0003]), fsolve flag:5, 1.1734664440155029e-07, 794
94, tensor([0.0004]), fsolve flag:1, 8.940696716308594e-08, 1568
95, tensor([0.0004]), fsolve flag:1, 1.1175870895385742e-07, 1571
96, tensor([0.0008]), fsolve flag:1, 8.195638656616211e-08, 1316
97, tensor([0.0003]), fsolve flag:5, 8.195638656616211e-08, 1054
98, tensor([0.0003]), fsolve flag:1, 1.1548399925231934e-07, 1830
99, tensor([0.0006]), fsolve flag:1, 9.313225746154785e-08, 798
mean err: 0.0005168565548956394
