0, tensor([0.0005]), fsolve flag:5, 9.872019290924072e-08, 1329
1, tensor([0.0005]), fsolve flag:4, 8.195638656616211e-08, 1845
2, tensor([0.0003]), fsolve flag:5, 1.341104507446289e-07, 1076
0, tensor([0.0005]), fsolve flag:1, 1.043081283569336e-07, 803
1, tensor([0.0005]), fsolve flag:1, 1.1734664440155029e-07, 545
2, tensor([0.0003]), fsolve flag:1, 1.1175870895385742e-07, 1065
3, tensor([0.0004]), fsolve flag:1, 1.043081283569336e-07, 1580
4, tensor([0.0004]), fsolve flag:5, 1.5087425708770752e-07, 540
5, tensor([0.0004]), fsolve flag:1, 7.82310962677002e-08, 1055
6, tensor([0.0005]), fsolve flag:1, 7.450580596923828e-08, 801
7, tensor([0.0003]), fsolve flag:1, 8.940696716308594e-08, 1061
8, tensor([0.0006]), fsolve flag:1, 9.685754776000977e-08, 546
9, tensor([0.0008]), fsolve flag:1, 1.2665987014770508e-07, 1327
10, tensor([0.0002]), fsolve flag:1, 8.940696716308594e-08, 545
11, tensor([0.0004]), fsolve flag:1, 8.940696716308594e-08, 1061
12, tensor([0.0009]), fsolve flag:1, 1.1175870895385742e-07, 1058
13, tensor([0.0007]), fsolve flag:1, 1.043081283569336e-07, 1580
14, tensor([0.0007]), fsolve flag:1, 7.450580596923828e-08, 803
15, tensor([0.0004]), fsolve flag:1, 1.7881393432617188e-07, 546
16, tensor([0.0005]), fsolve flag:1, 1.043081283569336e-07, 544
17, tensor([0.1396]), fsolve flag:1, 9.313225746154785e-08, 1068
18, tensor([0.0004]), fsolve flag:1, 1.4156103134155273e-07, 1062
19, tensor([0.0005]), fsolve flag:1, 8.614733815193176e-08, 802
20, tensor([0.0004]), fsolve flag:1, 1.043081283569336e-07, 1324
21, tensor([0.0007]), fsolve flag:1, 7.82310962677002e-08, 1066
22, tensor([0.1001]), fsolve flag:1, 1.0803341865539551e-07, 1062
23, tensor([0.0006]), fsolve flag:1, 1.30385160446167e-07, 804
24, tensor([0.0009]), fsolve flag:1, 9.685754776000977e-08, 802
25, tensor([0.0004]), fsolve flag:1, 9.685754776000977e-08, 799
26, tensor([0.0003]), fsolve flag:1, 8.940696716308594e-08, 544
27, tensor([0.0008]), fsolve flag:1, 7.450580596923828e-08, 1318
28, tensor([0.0006]), fsolve flag:1, 9.685754776000977e-08, 1062
29, tensor([0.0004]), fsolve flag:1, 1.043081283569336e-07, 809
30, tensor([0.0004]), fsolve flag:1, 1.341104507446289e-07, 806
31, tensor([0.0008]), fsolve flag:1, 1.0803341865539551e-07, 1063
32, tensor([0.0014]), fsolve flag:1, 1.2665987014770508e-07, 1061
33, tensor([0.0003]), fsolve flag:1, 1.2852251529693604e-07, 1060
34, tensor([0.0550]), fsolve flag:1, 8.195638656616211e-08, 1319
35, tensor([0.0003]), fsolve flag:1, 6.332993507385254e-08, 545
36, tensor([0.1285]), fsolve flag:1, 1.1920928955078125e-07, 1578
37, tensor([0.0005]), fsolve flag:1, 9.685754776000977e-08, 811
38, tensor([0.1097]), fsolve flag:1, 1.1175870895385742e-07, 1574
39, tensor([0.0007]), fsolve flag:1, 8.009374141693115e-08, 1057
40, tensor([0.0003]), fsolve flag:1, 7.82310962677002e-08, 796
41, tensor([0.1358]), fsolve flag:1, 1.30385160446167e-07, 1325
42, tensor([0.0004]), fsolve flag:1, 1.043081283569336e-07, 1314
43, tensor([0.0009]), fsolve flag:1, 7.031485438346863e-08, 545
44, tensor([0.0609]), fsolve flag:1, 9.313225746154785e-08, 1322
45, tensor([0.0004]), fsolve flag:1, 7.450580596923828e-08, 803
46, tensor([0.0005]), fsolve flag:1, 1.0058283805847168e-07, 549
47, tensor([0.0005]), fsolve flag:1, 1.0617077350616455e-07, 803
48, tensor([0.0007]), fsolve flag:1, 1.1175870895385742e-07, 811
49, tensor([0.0010]), fsolve flag:1, 1.257285475730896e-07, 800
50, tensor([0.0004]), fsolve flag:1, 1.043081283569336e-07, 1317
51, tensor([0.0005]), fsolve flag:1, 1.2549571692943573e-07, 1060
52, tensor([0.0006]), fsolve flag:1, 8.381903171539307e-08, 802
53, tensor([0.0005]), fsolve flag:1, 8.195638656616211e-08, 805
54, tensor([0.0006]), fsolve flag:1, 1.043081283569336e-07, 801
55, tensor([0.0004]), fsolve flag:1, 6.984919309616089e-08, 1062
56, tensor([0.0003]), fsolve flag:1, 8.195638656616211e-08, 802
