0, tensor([0.0003]), fsolve flag:1, 1.4901161193847656e-08, 1570
1, tensor([0.0002]), fsolve flag:1, 1.4901161193847656e-08, 1312
2, tensor([0.0003]), fsolve flag:1, 5.960464477539063e-08, 794
3, tensor([0.0003]), fsolve flag:1, 2.9802322387695312e-08, 1311
4, tensor([0.0003]), fsolve flag:1, 1.4901161193847656e-08, 795
5, tensor([0.0005]), fsolve flag:1, 2.2351741790771484e-08, 1053
6, tensor([0.0004]), fsolve flag:1, 2.2351741790771484e-08, 1310
7, tensor([0.0005]), fsolve flag:1, 1.4901161193847656e-08, 1312
8, tensor([0.0003]), fsolve flag:1, 1.862645149230957e-08, 1056
9, tensor([0.0002]), fsolve flag:1, 4.470348358154297e-08, 1570
10, tensor([0.0003]), fsolve flag:1, 1.862645149230957e-08, 794
11, tensor([0.0003]), fsolve flag:1, 2.9802322387695312e-08, 1310
12, tensor([0.0004]), fsolve flag:4, 4.470348358154297e-08, 1826
13, tensor([0.0003]), fsolve flag:1, 2.9802322387695312e-08, 1052
14, tensor([0.0003]), fsolve flag:1, 2.60770320892334e-08, 1053
15, tensor([0.0004]), fsolve flag:1, 2.9802322387695312e-08, 1054
16, tensor([0.0004]), fsolve flag:4, 1.4901161193847656e-08, 1825
17, tensor([0.0005]), fsolve flag:1, 1.4901161193847656e-08, 1310
18, tensor([0.0003]), fsolve flag:4, 2.9802322387695312e-08, 1825
19, tensor([0.0003]), fsolve flag:5, 2.2351741790771484e-08, 1051
20, tensor([0.0004]), fsolve flag:1, 2.9802322387695312e-08, 1052
21, tensor([0.0002]), fsolve flag:1, 2.9802322387695312e-08, 1051
22, tensor([0.0002]), fsolve flag:1, 2.2351741790771484e-08, 1314
23, tensor([0.0003]), fsolve flag:1, 2.9802322387695312e-08, 795
24, tensor([0.0004]), fsolve flag:1, 1.4901161193847656e-08, 1313
25, tensor([0.0003]), fsolve flag:5, 1.4901161193847656e-08, 1312
26, tensor([0.0005]), fsolve flag:1, 2.2351741790771484e-08, 1313
27, tensor([0.0005]), fsolve flag:5, 4.470348358154297e-08, 791
28, tensor([0.0004]), fsolve flag:5, 4.470348358154297e-08, 791
29, tensor([0.0004]), fsolve flag:1, 1.4901161193847656e-08, 1313
30, tensor([0.0004]), fsolve flag:5, 2.2351741790771484e-08, 1050
31, tensor([0.0002]), fsolve flag:5, 5.21540641784668e-08, 791
32, tensor([0.0003]), fsolve flag:5, 1.4901161193847656e-08, 1310
