0, tensor([0.0002]), fsolve flag:1, 3.6694109439849854e-07, 1050
1, tensor([0.0001]), fsolve flag:1, 3.8405414670705795e-07, 790
2, tensor([0.0007]), fsolve flag:5, 1.0471558198332787e-07, 790
3, tensor([0.0011]), fsolve flag:1, 3.203749656677246e-07, 531
mean err: 2.1476507754414342e-05
0, tensor([0.0002]), fsolve flag:1, 3.6694109439849854e-07, 1050
1, tensor([0.0001]), fsolve flag:1, 3.8405414670705795e-07, 790
2, tensor([0.0007]), fsolve flag:5, 1.0471558198332787e-07, 790
3, tensor([0.0011]), fsolve flag:1, 3.203749656677246e-07, 531
4, tensor([0.0005]), fsolve flag:1, 1.2479722499847412e-07, 790
5, tensor([0.0003]), fsolve flag:1, 4.898756742477417e-07, 1567
6, tensor([0.0024]), fsolve flag:1, 1.8719583749771118e-07, 788
7, tensor([0.0005]), fsolve flag:5, 2.6996713131666183e-07, 533
8, tensor([0.0003]), fsolve flag:1, 4.76837158203125e-07, 1049
9, tensor([0.0001]), fsolve flag:5, 6.515765562653542e-07, 788
10, tensor([4.1883e-05]), fsolve flag:1, 5.458714440464973e-07, 1307
11, tensor([0.0001]), fsolve flag:1, 4.7194771468639374e-07, 533
12, tensor([0.0002]), fsolve flag:5, 3.0244700610637665e-07, 786
13, tensor([8.4435e-05]), fsolve flag:5, 5.471520125865936e-07, 786
14, tensor([0.0012]), fsolve flag:1, 1.6926787793636322e-07, 1048
15, tensor([0.0005]), fsolve flag:1, 4.4284388422966003e-07, 1048
16, tensor([0.0002]), fsolve flag:1, 6.859190762042999e-07, 1046
17, tensor([0.0006]), fsolve flag:5, 1.4319084584712982e-07, 789
18, tensor([0.0002]), fsolve flag:5, 5.299225449562073e-07, 788
19, tensor([7.2943e-05]), fsolve flag:5, 5.261972546577454e-07, 786
20, tensor([0.0007]), fsolve flag:5, 6.225309334695339e-08, 788
21, tensor([0.0008]), fsolve flag:1, 1.371372491121292e-07, 532
22, tensor([0.0002]), fsolve flag:1, 6.193295121192932e-07, 1048
23, tensor([0.0002]), fsolve flag:1, 5.676411092281342e-07, 1048
24, tensor([0.0002]), fsolve flag:1, 2.3422762751579285e-07, 1047
25, tensor([0.0005]), fsolve flag:1, 4.116445779800415e-07, 1047
26, tensor([2.7937e-05]), fsolve flag:5, 6.426125764846802e-07, 786
27, tensor([0.0022]), fsolve flag:1, 2.193264663219452e-07, 788
28, tensor([0.0004]), fsolve flag:4, 2.993037924170494e-07, 1306
29, tensor([0.0004]), fsolve flag:4, 2.4493783712387085e-07, 1821
30, tensor([0.0014]), fsolve flag:1, 1.587904989719391e-07, 532
31, tensor([0.0016]), fsolve flag:1, 1.7415732145309448e-07, 1306
32, tensor([0.0012]), fsolve flag:1, 6.370828486979008e-08, 1049
33, tensor([0.0024]), fsolve flag:1, 1.73225998878479e-07, 1046
34, tensor([7.6464e-05]), fsolve flag:4, 4.316680133342743e-07, 1303
35, tensor([0.0006]), fsolve flag:1, 1.8684659153223038e-07, 1048
36, tensor([0.0002]), fsolve flag:5, 5.19677996635437e-07, 788
37, tensor([8.4992e-05]), fsolve flag:1, 4.116445779800415e-07, 790
38, tensor([0.0010]), fsolve flag:1, 7.229391485452652e-08, 1052
39, tensor([0.0003]), fsolve flag:1, 5.075708031654358e-07, 790
40, tensor([0.0004]), fsolve flag:1, 1.9278377294540405e-07, 1047
41, tensor([0.0008]), fsolve flag:1, 6.416667019948363e-08, 791
42, tensor([0.0002]), fsolve flag:1, 5.07105141878128e-07, 1313
43, tensor([0.0003]), fsolve flag:1, 3.25031578540802e-07, 1048
44, tensor([0.0003]), fsolve flag:1, 7.087364792823792e-07, 791
45, tensor([0.0003]), fsolve flag:1, 3.2759271562099457e-07, 789
46, tensor([0.0005]), fsolve flag:1, 3.157183527946472e-07, 1307
47, tensor([0.0003]), fsolve flag:1, 2.866145223379135e-07, 791
48, tensor([0.0021]), fsolve flag:1, 8.079223334789276e-08, 790
49, tensor([9.0516e-05]), fsolve flag:1, 5.941838026046753e-07, 1048
50, tensor([0.0002]), fsolve flag:5, 2.9709190130233765e-07, 790
51, tensor([0.0006]), fsolve flag:1, 3.3783726394176483e-07, 1046
52, tensor([0.0005]), fsolve flag:1, 3.809109330177307e-07, 1564
53, tensor([4.8172e-05]), fsolve flag:5, 6.2515027821064e-07, 531
54, tensor([0.0006]), fsolve flag:1, 1.0547228157520294e-07, 790
55, tensor([0.0008]), fsolve flag:1, 1.6228295862674713e-07, 1308
56, tensor([0.0002]), fsolve flag:1, 3.6228448152542114e-07, 789
57, tensor([0.0015]), fsolve flag:5, 1.9650906324386597e-07, 531
58, tensor([0.0005]), fsolve flag:1, 3.440072759985924e-07, 790
59, tensor([0.0003]), fsolve flag:1, 1.647567842155695e-07, 792
60, tensor([0.0004]), fsolve flag:4, 3.3527612686157227e-07, 1561
61, tensor([0.0007]), fsolve flag:5, 1.0139774531126022e-07, 788
62, tensor([0.0003]), fsolve flag:1, 3.986060619354248e-07, 532
63, tensor([0.0001]), fsolve flag:5, 6.356276571750641e-07, 525
64, tensor([0.0001]), fsolve flag:1, 3.948807716369629e-07, 1048
65, tensor([0.0021]), fsolve flag:5, 1.7601996660232544e-07, 531
66, tensor([0.0005]), fsolve flag:1, 2.915039658546448e-07, 1307
67, tensor([0.0007]), fsolve flag:4, 7.631024345755577e-08, 1822
68, tensor([0.0016]), fsolve flag:1, 1.7462298274040222e-07, 790
69, tensor([0.0003]), fsolve flag:1, 3.203749656677246e-07, 789
70, tensor([0.0004]), fsolve flag:1, 3.4831464290618896e-07, 1047
71, tensor([0.0024]), fsolve flag:1, 9.12696123123169e-08, 531
72, tensor([0.0001]), fsolve flag:5, 2.561137080192566e-07, 788
73, tensor([0.0002]), fsolve flag:1, 4.5355409383773804e-07, 1048
74, tensor([0.0006]), fsolve flag:5, 1.6205012798309326e-07, 792
75, tensor([0.0004]), fsolve flag:4, 6.686896085739136e-07, 1823
76, tensor([7.0861e-05]), fsolve flag:1, 5.813781172037125e-07, 1309
77, tensor([0.0004]), fsolve flag:1, 3.658933565020561e-07, 1048
78, tensor([0.0020]), fsolve flag:5, 1.94646418094635e-07, 786
79, tensor([0.0024]), fsolve flag:1, 1.6367994248867035e-07, 1046
80, tensor([0.0034]), fsolve flag:1, 8.381903171539307e-08, 791
81, tensor([0.0004]), fsolve flag:1, 3.4226104617118835e-07, 789
82, tensor([7.6610e-05]), fsolve flag:1, 3.8475263863801956e-07, 791
83, tensor([0.0033]), fsolve flag:5, 1.8440186977386475e-07, 530
84, tensor([0.0004]), fsolve flag:5, 3.2177194952964783e-07, 789
85, tensor([4.3110e-05]), fsolve flag:1, 4.544854164123535e-07, 792
86, tensor([0.0005]), fsolve flag:5, 3.0780211091041565e-07, 531
87, tensor([0.0006]), fsolve flag:1, 3.390014171600342e-07, 1048
88, tensor([0.0004]), fsolve flag:5, 4.1117891669273376e-07, 790
89, tensor([0.0003]), fsolve flag:1, 3.948807716369629e-07, 789
90, tensor([0.0003]), fsolve flag:1, 3.320164978504181e-07, 532
91, tensor([0.0005]), fsolve flag:1, 5.094334483146667e-07, 788
92, tensor([0.0002]), fsolve flag:1, 5.718320608139038e-07, 1306
93, tensor([0.0003]), fsolve flag:5, 5.597248673439026e-07, 788
94, tensor([0.0003]), fsolve flag:1, 2.169981598854065e-07, 1049
95, tensor([0.0018]), fsolve flag:1, 1.5669502317905426e-07, 791
96, tensor([0.0004]), fsolve flag:1, 3.4598633646965027e-07, 1308
97, tensor([0.0003]), fsolve flag:1, 7.46455043554306e-07, 1049
98, tensor([0.0007]), fsolve flag:1, 1.0756775736808777e-07, 792
99, tensor([0.0004]), fsolve flag:5, 2.551823854446411e-07, 790
mean err: 0.0006487175123766065
