0, err b: tensor([0.0049]), err u: tensor([0.0135]), fsolve flag:1, 3.2723870835305036e-10, 149
1, err b: tensor([0.0039]), err u: tensor([0.0184]), fsolve flag:1, 8.49814663084203e-11, 148
2, err b: tensor([0.0038]), err u: tensor([0.0084]), fsolve flag:1, 1.6065970775969163e-10, 150
3, err b: tensor([0.0037]), err u: tensor([0.0129]), fsolve flag:1, 5.749856146763932e-11, 146
4, err b: tensor([0.0035]), err u: tensor([0.0036]), fsolve flag:1, 3.2873453958970345e-11, 149
5, err b: tensor([0.0036]), err u: tensor([0.0063]), fsolve flag:1, 1.862476839420424e-11, 150
6, err b: tensor([0.0039]), err u: tensor([0.0137]), fsolve flag:1, 8.273220997168096e-10, 152
7, err b: tensor([0.0040]), err u: tensor([0.0076]), fsolve flag:1, 7.616884900585319e-11, 152
8, err b: tensor([0.0043]), err u: tensor([0.0037]), fsolve flag:1, 8.43503045189209e-12, 274
9, err b: tensor([0.0039]), err u: tensor([0.0188]), fsolve flag:1, 7.715938998842375e-11, 148
10, err b: tensor([0.0038]), err u: tensor([0.0050]), fsolve flag:1, 3.672717685532234e-11, 146
11, err b: tensor([0.0045]), err u: tensor([0.0036]), fsolve flag:1, 1.800402049667582e-10, 152
12, err b: tensor([0.0038]), err u: tensor([0.0091]), fsolve flag:1, 3.249318591969086e-10, 150
13, err b: tensor([0.0043]), err u: tensor([0.0125]), fsolve flag:1, 2.0746643292213207e-10, 147
14, err b: tensor([0.0043]), err u: tensor([0.0141]), fsolve flag:1, 3.351691424402503e-10, 148
15, err b: tensor([0.0044]), err u: tensor([0.0080]), fsolve flag:1, 1.8606027829548566e-10, 147
16, err b: tensor([0.0033]), err u: tensor([0.0103]), fsolve flag:1, 3.322950248296763e-11, 147
17, err b: tensor([0.0039]), err u: tensor([0.0111]), fsolve flag:1, 1.9870916023734253e-10, 149
18, err b: tensor([0.0039]), err u: tensor([0.0098]), fsolve flag:1, 3.0382063531675385e-10, 149
19, err b: tensor([0.0039]), err u: tensor([0.0063]), fsolve flag:1, 1.82499126921698e-10, 150
20, err b: tensor([0.0042]), err u: tensor([0.0090]), fsolve flag:1, 7.001343949042393e-11, 146
21, err b: tensor([0.0038]), err u: tensor([0.0072]), fsolve flag:1, 2.773127283361987e-10, 147
22, err b: tensor([0.0043]), err u: tensor([0.0168]), fsolve flag:1, 3.8299757809667767e-10, 152
23, err b: tensor([0.0041]), err u: tensor([0.0057]), fsolve flag:1, 8.698208819879483e-11, 149
24, err b: tensor([0.0042]), err u: tensor([0.0133]), fsolve flag:1, 1.5164897115838016e-10, 146
25, err b: tensor([0.0035]), err u: tensor([0.0091]), fsolve flag:1, 1.406053606878288e-10, 150
26, err b: tensor([0.0046]), err u: tensor([0.0183]), fsolve flag:1, 1.4790002555997717e-10, 149
27, err b: tensor([0.0035]), err u: tensor([0.0107]), fsolve flag:1, 2.1125401428179202e-10, 153
28, err b: tensor([0.0040]), err u: tensor([0.0197]), fsolve flag:1, 1.7387641326749304e-10, 149
29, err b: tensor([0.0041]), err u: tensor([0.0065]), fsolve flag:1, 2.366690177169062e-10, 148
30, err b: tensor([0.0040]), err u: tensor([0.0252]), fsolve flag:1, 2.420131595126662e-10, 149
31, err b: tensor([0.0040]), err u: tensor([0.0110]), fsolve flag:1, 3.4427577455531377e-10, 150
32, err b: tensor([0.0041]), err u: tensor([0.0056]), fsolve flag:1, 2.441456481427906e-10, 147
33, err b: tensor([0.0041]), err u: tensor([0.0200]), fsolve flag:1, 6.851069711544255e-11, 150
34, err b: tensor([0.0039]), err u: tensor([0.0167]), fsolve flag:1, 1.6064075070154615e-10, 148
35, err b: tensor([0.0047]), err u: tensor([0.0140]), fsolve flag:1, 2.0443846615592065e-10, 154
36, err b: tensor([0.0039]), err u: tensor([0.0061]), fsolve flag:1, 1.7762669113352558e-10, 150
37, err b: tensor([0.0039]), err u: tensor([0.0205]), fsolve flag:1, 6.043510136777286e-11, 150
38, err b: tensor([0.0047]), err u: tensor([0.0077]), fsolve flag:1, 4.3753223266662644e-11, 146
39, err b: tensor([0.0042]), err u: tensor([0.0066]), fsolve flag:1, 1.6416645820527265e-11, 154
40, err b: tensor([0.0038]), err u: tensor([0.0081]), fsolve flag:1, 1.474942945556279e-10, 148
41, err b: tensor([0.0045]), err u: tensor([0.0104]), fsolve flag:1, 4.697081612548004e-11, 150
42, err b: tensor([0.0038]), err u: tensor([0.0137]), fsolve flag:1, 3.485554067594876e-10, 147
43, err b: tensor([0.0040]), err u: tensor([0.0154]), fsolve flag:1, 3.393652026062455e-11, 148
44, err b: tensor([0.0034]), err u: tensor([0.0053]), fsolve flag:1, 2.108980767800972e-10, 150
45, err b: tensor([0.0036]), err u: tensor([0.0069]), fsolve flag:1, 1.376834202204691e-10, 150
46, err b: tensor([0.0045]), err u: tensor([0.0133]), fsolve flag:1, 2.0108548159925022e-10, 148
47, err b: tensor([0.0046]), err u: tensor([0.0198]), fsolve flag:1, 1.5847487211395617e-10, 146
48, err b: tensor([0.0042]), err u: tensor([0.0031]), fsolve flag:1, 7.895921694256458e-10, 153
49, err b: tensor([0.0042]), err u: tensor([0.0065]), fsolve flag:1, 6.637074223547756e-11, 148
mean err u: 1.3717e-03, mean err b: 5.0498e-04
