8, [0.005], [0.99, 0.998], 128_8, 0.03125: 0.0009632733183106401,0.0009694612141278945,0.0012410391392799968,344
8, [0.005], [0.99, 0.998], 128_8, 0.015625: 3.156399283998705e-05,3.249982743102102e-05,3.2069324686287805e-05,344
8, [0.005], [0.99, 0.998], 128_8, 0.0078125: 4.932002754020349e-06,3.331416429361733e-06,3.44422168447247e-06,360
8, [0.005], [0.99, 0.998], 128_8, 0.00390625: 2.2719598942067963e-06,5.803050379336597e-07,5.470457477975895e-07,2998

4, [0.005], [0.99, 0.998], 128_4, 0.03125: 0.0009949368779461878,0.0010229143215864562,0.0012450654728304597,2999
4, [0.005], [0.99, 0.998], 128_4, 0.015625: 3.752329866536409e-05,3.284008935629911e-05,3.2192470446887446e-05,363
4, [0.005], [0.99, 0.998], 128_4, 0.0078125: 6.29737609657533e-06,3.0336347063561354e-06,2.9315717283274866e-06,2999
4, [0.005], [0.99, 0.998], 128_4, 0.00390625: 1.6172612554133528e-06,5.688114963019479e-07,4.854811744891188e-07,822

8, [0.005], [0.99, 0.998], 32_8, 0.03125: 0.0009632970146026276,0.0009683579072840251,0.00123542076884577,450
8, [0.005], [0.99, 0.998], 32_8, 0.015625: 3.225968741531501e-05,3.204006559937384e-05,3.1310626210230585e-05,503
8, [0.005], [0.99, 0.998], 32_8, 0.0078125: 4.452920598168876e-06,2.7198221520058463e-06,2.6907445501731513e-06,2993
8, [0.005], [0.99, 0.998], 32_8, 0.00390625: 1.1615721538191307e-06,4.879718546660262e-07,4.7163651180448643e-07,2992

8, [0.005], [0.995, 0.998], 64_4, 0.03125: 0.0009636507473047097,0.000967599539653256,0.001234467143531357,153
8, [0.005], [0.995, 0.998], 64_4, 0.015625: 3.587423365607675e-05,3.1387100629745716e-05,3.18978815615371e-05,130
8, [0.005], [0.995, 0.998], 64_4, 0.0078125: 4.672141200140524e-06,2.8461964191881567e-06,2.9127694610207065e-06,218
8, [0.005], [0.995, 0.998], 64_4, 0.00390625: 5.009793986364282e-07,4.331569547797101e-07,4.3032868810355006e-07,394

4, [0.005], [0.995, 0.998], 128_4, 0.03125: 0.0009717989460226088,0.000977383131570921,0.0012404529803874687,717
4, [0.005], [0.995, 0.998], 128_4, 0.015625: 3.144829421444969e-05,3.275954693003432e-05,3.2816564051567435e-05,248
4, [0.005], [0.995, 0.998], 128_4, 0.0078125: 3.4076147210196407e-06,2.772248124015641e-06,2.8271224214252257e-06,296
4, [0.005], [0.995, 0.998], 128_4, 0.00390625: 4.982227728068788e-07,4.680252425748849e-07,4.676767278919581e-07,831
