0, tensor([0.0001]), fsolve flag:5, 4.5821070671081543e-07, 788
1, tensor([0.0015]), fsolve flag:4, 4.968605935573578e-07, 1309
2, tensor([0.0013]), fsolve flag:1, 1.643202267587185e-07, 1052
3, tensor([0.0001]), fsolve flag:1, 2.1047890186309814e-07, 535
4, tensor([0.0007]), fsolve flag:1, 1.6007106751203537e-07, 1310
5, tensor([0.0001]), fsolve flag:1, 3.2223761081695557e-07, 1310
6, tensor([0.0007]), fsolve flag:1, 1.0710209608078003e-07, 1050
7, tensor([0.0009]), fsolve flag:1, 2.1024607121944427e-07, 532
8, tensor([0.0002]), fsolve flag:1, 3.403984010219574e-07, 1049
9, tensor([0.0031]), fsolve flag:1, 6.915070116519928e-07, 794
10, tensor([0.0005]), fsolve flag:5, 5.783513188362122e-07, 531
11, tensor([0.0005]), fsolve flag:4, 7.795169949531555e-07, 1304
12, tensor([0.0008]), fsolve flag:1, 3.289896994829178e-07, 792
13, tensor([0.0027]), fsolve flag:5, 5.507608875632286e-07, 533
14, tensor([0.0018]), fsolve flag:1, 1.5071418602019548e-07, 792
15, tensor([0.0003]), fsolve flag:1, 3.7066638469696045e-07, 791
16, tensor([0.0003]), fsolve flag:1, 6.295740604400635e-07, 534
17, tensor([0.0011]), fsolve flag:1, 1.707230694591999e-07, 791
18, tensor([0.0004]), fsolve flag:4, 7.313210517168045e-07, 1566
19, tensor([0.0015]), fsolve flag:5, 4.6938657760620117e-07, 1048
20, tensor([0.0017]), fsolve flag:1, 1.6600824892520905e-07, 1052
21, tensor([0.0013]), fsolve flag:1, 1.7025740817189217e-07, 792
22, tensor([0.0004]), fsolve flag:5, 5.774199962615967e-07, 1050
23, tensor([0.0003]), fsolve flag:1, 7.57165253162384e-07, 1050
24, tensor([0.0006]), fsolve flag:1, 1.8137507140636444e-07, 792
25, tensor([0.0003]), fsolve flag:5, 3.520399332046509e-07, 791
26, tensor([0.0003]), fsolve flag:1, 6.705522537231445e-07, 1311
27, tensor([0.0007]), fsolve flag:1, 1.5366822481155396e-07, 535
28, tensor([0.0008]), fsolve flag:1, 2.1327286958694458e-07, 1313
29, tensor([0.0005]), fsolve flag:1, 3.380700945854187e-07, 1309
30, tensor([0.0003]), fsolve flag:1, 1.5692785382270813e-07, 792
31, tensor([0.0003]), fsolve flag:1, 1.695007085800171e-07, 1052
32, tensor([0.0019]), fsolve flag:5, 1.6792910173535347e-07, 792
33, tensor([0.0006]), fsolve flag:5, 1.825392246246338e-07, 788
34, tensor([0.0015]), fsolve flag:5, 3.7439167499542236e-07, 789
35, tensor([0.0010]), fsolve flag:4, 1.5007390175014734e-07, 1823
36, tensor([0.0005]), fsolve flag:1, 8.89413058757782e-07, 1307
37, tensor([0.0013]), fsolve flag:5, 5.73229044675827e-07, 535
38, tensor([0.0016]), fsolve flag:1, 1.5204568626359105e-07, 1568
39, tensor([0.0002]), fsolve flag:1, 4.4491025619208813e-07, 792
40, tensor([0.0006]), fsolve flag:4, 2.1091545931994915e-07, 1304
41, tensor([0.0014]), fsolve flag:1, 1.7898855730891228e-07, 1049
