>> Device being used: cuda (NVIDIA GeForce RTX 4090)
Total number of parameters: 12673
>> Training Mesh resolution: 257x257
/root/autodl-tmp/project/MPNO_final/BlatzKo_1d/PNO_NN_ex35_k1/PNO_BB.py:137: UserWarning: torch.range is deprecated and will be removed in a future release because its behavior is inconsistent with Python's range builtin. Instead, use torch.arange, which produces values in [start, end).
  ksi_range = torch.range(-m_fact, m_fact).int()
tensor(0.8109)
tensor(3.3456)
>> Preprocessing completed, time elapsed:  0.30s
>> ntrain: 300, lr: 0.01, gamma: 0.6, w_d: 0.0
----------------------------------------------------------------------------------------------------
>> epoch [   1/3000], runtime: 2.85s, train loss: 2.0945e-04, valid loss: 2.6657e-05 , test loss: 5.0679e-03
>> epoch [   2/3000], runtime: 2.55s, train loss: 1.2175e-04, valid loss: 2.3704e-05 , test loss: 4.1425e-03
>> epoch [   3/3000], runtime: 2.55s, train loss: 7.6934e-05, valid loss: 1.3656e-05 , test loss: 1.5446e-03
>> epoch [   4/3000], runtime: 2.55s, train loss: 5.6017e-05, valid loss: 7.6410e-06 , test loss: 7.0184e-04
>> epoch [   5/3000], runtime: 2.60s, train loss: 3.4976e-05, valid loss: 5.8555e-06 , test loss: 4.9433e-04
>> epoch [   6/3000], runtime:  2.56s, train loss: 4.9484e-05 (best: 3.4976e-05/5.8555e-06)
>> epoch [   7/3000], runtime:  2.56s, train loss: 3.6781e-05 (best: 3.4976e-05/5.8555e-06)
>> epoch [   8/3000], runtime:  2.55s, train loss: 4.1001e-05 (best: 3.4976e-05/5.8555e-06)
>> epoch [   9/3000], runtime: 2.54s, train loss: 3.2488e-05, valid loss: 4.6339e-06 , test loss: 4.8526e-04
>> epoch [  10/3000], runtime:  2.54s, train loss: 2.4047e-05 (best: 3.2488e-05/4.6339e-06)
>> epoch [  11/3000], runtime:  2.55s, train loss: 2.5828e-05 (best: 3.2488e-05/4.6339e-06)
>> epoch [  12/3000], runtime: 2.54s, train loss: 2.7567e-05, valid loss: 4.5983e-06 , test loss: 3.4102e-04
>> epoch [  13/3000], runtime:  2.55s, train loss: 2.6168e-05 (best: 2.7567e-05/4.5983e-06)
>> epoch [  14/3000], runtime:  2.54s, train loss: 3.0246e-05 (best: 2.7567e-05/4.5983e-06)
>> epoch [  15/3000], runtime:  2.55s, train loss: 2.7492e-05 (best: 2.7567e-05/4.5983e-06)
>> epoch [  16/3000], runtime:  2.55s, train loss: 2.8766e-05 (best: 2.7567e-05/4.5983e-06)
>> epoch [  17/3000], runtime:  2.54s, train loss: 2.9263e-05 (best: 2.7567e-05/4.5983e-06)
>> epoch [  18/3000], runtime:  2.54s, train loss: 3.1324e-05 (best: 2.7567e-05/4.5983e-06)
>> epoch [  19/3000], runtime:  2.54s, train loss: 2.5453e-05 (best: 2.7567e-05/4.5983e-06)
>> epoch [  20/3000], runtime:  2.54s, train loss: 2.9025e-05 (best: 2.7567e-05/4.5983e-06)
>> epoch [  21/3000], runtime: 2.54s, train loss: 2.2384e-05, valid loss: 3.6038e-06 , test loss: 4.6895e-04
>> epoch [  22/3000], runtime:  2.54s, train loss: 2.4639e-05 (best: 2.2384e-05/3.6038e-06)
>> epoch [  23/3000], runtime: 2.53s, train loss: 1.6187e-05, valid loss: 2.6547e-06 , test loss: 3.5104e-04
>> epoch [  24/3000], runtime:  2.55s, train loss: 1.9903e-05 (best: 1.6187e-05/2.6547e-06)
>> epoch [  25/3000], runtime:  2.54s, train loss: 3.2555e-05 (best: 1.6187e-05/2.6547e-06)
>> epoch [  26/3000], runtime:  2.55s, train loss: 2.2468e-05 (best: 1.6187e-05/2.6547e-06)
>> epoch [  27/3000], runtime:  2.55s, train loss: 2.9836e-05 (best: 1.6187e-05/2.6547e-06)
>> epoch [  28/3000], runtime:  2.56s, train loss: 3.7057e-05 (best: 1.6187e-05/2.6547e-06)
