PID: 131880
>> Device being used: cuda (NVIDIA GeForce RTX 4090)
Total number of parameters: 100226
>> Training Mesh resolution: 257x257
>> Preprocessing completed, time elapsed:  0.48s
>> ntrain: 300, lr: 0.01, gamma: 0.6, w_d: 0.0
----------------------------------------------------------------------------------------------------
>> epoch [   1/3000], runtime: 13.48s, train err *1e8: 5555.7612, valid err*1e8: 510.0734 , test err*1e8: 421.6951
>> epoch [   2/3000], runtime: 13.13s, train err *1e8: 1730.9872, valid err*1e8: 174.6207 , test err*1e8: 188.8189
>> epoch [   3/3000], runtime: 13.10s, train err *1e8: 645.0301, valid err*1e8: 88.3889 , test err*1e8: 100.0078
>> epoch [   4/3000], runtime: 13.11s, train err *1e8: 172.5546, valid err*1e8: 22.1296 , test err*1e8: 34.2929
>> epoch [   5/3000], runtime: 13.12s, train err *1e8: 114.0229, valid err*1e8: 13.1140 , test err*1e8: 21.5802
>> epoch [   6/3000], runtime: 13.13s, train err *1e8: 84.7637, valid err*1e8: 11.9219 , test err*1e8: 13.4938
>> epoch [   7/3000], runtime:  13.17s, train err*1e8:  102.4250 (best*1e8:  84.7637/ 11.9219)
>> epoch [   8/3000], runtime: 13.13s, train err *1e8: 63.9758, valid err*1e8: 8.0202 , test err*1e8: 9.4427
>> epoch [   9/3000], runtime:  13.18s, train err*1e8:  66.2931 (best*1e8:  63.9758/ 8.0202)
>> epoch [  10/3000], runtime:  13.16s, train err*1e8:  119.4704 (best*1e8:  63.9758/ 8.0202)
>> epoch [  11/3000], runtime:  13.09s, train err*1e8:  82.0840 (best*1e8:  63.9758/ 8.0202)
>> epoch [  12/3000], runtime:  13.15s, train err*1e8:  57.3418 (best*1e8:  63.9758/ 8.0202)
>> epoch [  13/3000], runtime: 13.16s, train err *1e8: 51.5957, valid err*1e8: 5.4375 , test err*1e8: 6.1946
>> epoch [  14/3000], runtime: 13.14s, train err *1e8: 39.4306, valid err*1e8: 5.0531 , test err*1e8: 5.6868
>> epoch [  15/3000], runtime:  13.10s, train err*1e8:  39.3068 (best*1e8:  39.4306/ 5.0531)
>> epoch [  16/3000], runtime:  13.23s, train err*1e8:  45.1932 (best*1e8:  39.4306/ 5.0531)
>> epoch [  17/3000], runtime:  13.13s, train err*1e8:  37.9061 (best*1e8:  39.4306/ 5.0531)
>> epoch [  18/3000], runtime:  13.09s, train err*1e8:  32.5631 (best*1e8:  39.4306/ 5.0531)
>> epoch [  19/3000], runtime:  13.15s, train err*1e8:  36.0674 (best*1e8:  39.4306/ 5.0531)
>> epoch [  20/3000], runtime:  13.16s, train err*1e8:  48.5075 (best*1e8:  39.4306/ 5.0531)
>> epoch [  21/3000], runtime:  13.10s, train err*1e8:  40.8349 (best*1e8:  39.4306/ 5.0531)
>> epoch [  22/3000], runtime:  13.18s, train err*1e8:  57.6711 (best*1e8:  39.4306/ 5.0531)
>> epoch [  23/3000], runtime:  13.16s, train err*1e8:  41.0145 (best*1e8:  39.4306/ 5.0531)
>> epoch [  24/3000], runtime: 13.12s, train err *1e8: 33.7026, valid err*1e8: 5.0316 , test err*1e8: 5.3577
>> epoch [  25/3000], runtime: 13.19s, train err *1e8: 30.7107, valid err*1e8: 4.7534 , test err*1e8: 4.4033
>> epoch [  26/3000], runtime:  13.20s, train err*1e8:  41.7287 (best*1e8:  30.7107/ 4.7534)
>> epoch [  27/3000], runtime:  13.12s, train err*1e8:  34.2809 (best*1e8:  30.7107/ 4.7534)
>> epoch [  28/3000], runtime:  13.15s, train err*1e8:  30.6322 (best*1e8:  30.7107/ 4.7534)
>> epoch [  29/3000], runtime:  13.06s, train err*1e8:  40.3636 (best*1e8:  30.7107/ 4.7534)
>> epoch [  30/3000], runtime:  13.18s, train err*1e8:  31.7102 (best*1e8:  30.7107/ 4.7534)
>> epoch [  31/3000], runtime:  13.15s, train err*1e8:  40.0121 (best*1e8:  30.7107/ 4.7534)
>> epoch [  32/3000], runtime:  13.12s, train err*1e8:  43.4916 (best*1e8:  30.7107/ 4.7534)
>> epoch [  33/3000], runtime:  13.17s, train err*1e8:  39.3162 (best*1e8:  30.7107/ 4.7534)
>> epoch [  34/3000], runtime:  13.20s, train err*1e8:  43.7126 (best*1e8:  30.7107/ 4.7534)
>> epoch [  35/3000], runtime:  13.20s, train err*1e8:  69.7167 (best*1e8:  30.7107/ 4.7534)
>> epoch [  36/3000], runtime:  13.14s, train err*1e8:  43.1477 (best*1e8:  30.7107/ 4.7534)
>> epoch [  37/3000], runtime:  13.20s, train err*1e8:  28.9902 (best*1e8:  30.7107/ 4.7534)
>> epoch [  38/3000], runtime:  13.16s, train err*1e8:  34.8191 (best*1e8:  30.7107/ 4.7534)
>> epoch [  39/3000], runtime: 13.15s, train err *1e8: 28.0340, valid err*1e8: 4.2251 , test err*1e8: 4.2568
>> epoch [  40/3000], runtime: 13.13s, train err *1e8: 26.0758, valid err*1e8: 3.8936 , test err*1e8: 4.1913
>> epoch [  41/3000], runtime:  13.22s, train err*1e8:  26.0405 (best*1e8:  26.0758/ 3.8936)
>> epoch [  42/3000], runtime:  13.23s, train err*1e8:  35.9595 (best*1e8:  26.0758/ 3.8936)
>> epoch [  43/3000], runtime:  13.15s, train err*1e8:  27.7434 (best*1e8:  26.0758/ 3.8936)
>> epoch [  44/3000], runtime:  13.16s, train err*1e8:  42.2429 (best*1e8:  26.0758/ 3.8936)
>> epoch [  45/3000], runtime:  13.14s, train err*1e8:  26.4488 (best*1e8:  26.0758/ 3.8936)
>> epoch [  46/3000], runtime:  13.22s, train err*1e8:  30.7834 (best*1e8:  26.0758/ 3.8936)
>> epoch [  47/3000], runtime:  13.16s, train err*1e8:  32.1865 (best*1e8:  26.0758/ 3.8936)
>> epoch [  48/3000], runtime:  13.15s, train err*1e8:  35.2577 (best*1e8:  26.0758/ 3.8936)
>> epoch [  49/3000], runtime:  13.24s, train err*1e8:  25.0554 (best*1e8:  26.0758/ 3.8936)
>> epoch [  50/3000], runtime:  13.08s, train err*1e8:  32.6358 (best*1e8:  26.0758/ 3.8936)
>> epoch [  51/3000], runtime:  13.14s, train err*1e8:  46.9480 (best*1e8:  26.0758/ 3.8936)
>> epoch [  52/3000], runtime:  13.19s, train err*1e8:  35.2220 (best*1e8:  26.0758/ 3.8936)
>> epoch [  53/3000], runtime:  13.11s, train err*1e8:  29.6163 (best*1e8:  26.0758/ 3.8936)
>> epoch [  54/3000], runtime:  13.23s, train err*1e8:  27.9903 (best*1e8:  26.0758/ 3.8936)
>> epoch [  55/3000], runtime:  13.15s, train err*1e8:  26.5553 (best*1e8:  26.0758/ 3.8936)
>> epoch [  56/3000], runtime: 13.16s, train err *1e8: 24.7601, valid err*1e8: 3.5342 , test err*1e8: 4.5498
>> epoch [  57/3000], runtime:  13.13s, train err*1e8:  28.7674 (best*1e8:  24.7601/ 3.5342)
>> epoch [  58/3000], runtime:  13.18s, train err*1e8:  41.3601 (best*1e8:  24.7601/ 3.5342)
>> epoch [  59/3000], runtime:  13.13s, train err*1e8:  58.8007 (best*1e8:  24.7601/ 3.5342)
>> epoch [  60/3000], runtime:  13.18s, train err*1e8:  40.2830 (best*1e8:  24.7601/ 3.5342)
>> epoch [  61/3000], runtime:  13.09s, train err*1e8:  34.2020 (best*1e8:  24.7601/ 3.5342)
>> epoch [  62/3000], runtime:  13.17s, train err*1e8:  38.0390 (best*1e8:  24.7601/ 3.5342)
>> epoch [  63/3000], runtime:  13.19s, train err*1e8:  33.7410 (best*1e8:  24.7601/ 3.5342)
>> epoch [  64/3000], runtime:  13.16s, train err*1e8:  32.2293 (best*1e8:  24.7601/ 3.5342)
>> epoch [  65/3000], runtime:  13.17s, train err*1e8:  76.7472 (best*1e8:  24.7601/ 3.5342)
>> epoch [  66/3000], runtime:  13.19s, train err*1e8:  32.1112 (best*1e8:  24.7601/ 3.5342)
>> epoch [  67/3000], runtime:  13.19s, train err*1e8:  28.3773 (best*1e8:  24.7601/ 3.5342)
>> epoch [  68/3000], runtime:  13.21s, train err*1e8:  32.6784 (best*1e8:  24.7601/ 3.5342)
>> epoch [  69/3000], runtime:  13.24s, train err*1e8:  39.0534 (best*1e8:  24.7601/ 3.5342)
>> epoch [  70/3000], runtime:  13.22s, train err*1e8:  28.2620 (best*1e8:  24.7601/ 3.5342)
>> epoch [  71/3000], runtime: 13.13s, train err *1e8: 23.5570, valid err*1e8: 3.4462 , test err*1e8: 3.4841
>> epoch [  72/3000], runtime:  13.23s, train err*1e8:  22.8699 (best*1e8:  23.5570/ 3.4462)
>> epoch [  73/3000], runtime:  13.22s, train err*1e8:  23.0780 (best*1e8:  23.5570/ 3.4462)
>> epoch [  74/3000], runtime:  13.84s, train err*1e8:  21.1246 (best*1e8:  23.5570/ 3.4462)
>> epoch [  75/3000], runtime:  14.39s, train err*1e8:  22.8515 (best*1e8:  23.5570/ 3.4462)
>> epoch [  76/3000], runtime:  14.33s, train err*1e8:  23.4076 (best*1e8:  23.5570/ 3.4462)
>> epoch [  77/3000], runtime:  14.33s, train err*1e8:  24.1930 (best*1e8:  23.5570/ 3.4462)
>> epoch [  78/3000], runtime:  14.37s, train err*1e8:  25.7278 (best*1e8:  23.5570/ 3.4462)
>> epoch [  79/3000], runtime:  15.27s, train err*1e8:  31.0056 (best*1e8:  23.5570/ 3.4462)
>> epoch [  80/3000], runtime:  15.28s, train err*1e8:  35.1408 (best*1e8:  23.5570/ 3.4462)
>> epoch [  81/3000], runtime:  15.44s, train err*1e8:  23.1560 (best*1e8:  23.5570/ 3.4462)
>> epoch [  82/3000], runtime: 15.38s, train err *1e8: 22.6949, valid err*1e8: 2.9612 , test err*1e8: 2.6818
>> epoch [  83/3000], runtime:  15.53s, train err*1e8:  24.0871 (best*1e8:  22.6949/ 2.9612)
>> epoch [  84/3000], runtime:  15.44s, train err*1e8:  43.4447 (best*1e8:  22.6949/ 2.9612)
