>> Device being used: cuda (NVIDIA GeForce RTX 4090)
Total number of parameters: 66433
>> Training Mesh resolution: 257x257
/root/autodl-tmp/project/MPNO_final/BlatzKo_1d/ex35/MLP/PNO_BB.py:140: UserWarning: torch.range is deprecated and will be removed in a future release because its behavior is inconsistent with Python's range builtin. Instead, use torch.arange, which produces values in [start, end).
  ksi_range = torch.range(-m_fact, m_fact).int()
tensor(0.8109)
tensor(3.3456)
>> Preprocessing completed, time elapsed:  0.28s
>> ntrain: 300, lr: 0.01, gamma: 0.6, w_d: 0.0
----------------------------------------------------------------------------------------------------
>> epoch [   1/3000], runtime: 9.73s, train loss: 2.3921e-04, valid loss: 1.2055e-04 , test loss: 4.0250e-03
>> epoch [   2/3000], runtime: 9.60s, train loss: 9.7585e-05, valid loss: 1.0130e-04 , test loss: 1.4817e-03
>> epoch [   3/3000], runtime: 9.56s, train loss: 8.5730e-05, valid loss: 6.6093e-05 , test loss: 1.3905e-03
>> epoch [   4/3000], runtime: 9.60s, train loss: 7.6393e-05, valid loss: 5.9169e-05 , test loss: 1.8576e-03
>> epoch [   5/3000], runtime:  9.58s, train loss: 9.4912e-05 (best: 7.6393e-05/5.9169e-05)
>> epoch [   6/3000], runtime: 9.59s, train loss: 4.9176e-05, valid loss: 3.8806e-05 , test loss: 4.6447e-04
>> epoch [   7/3000], runtime:  9.56s, train loss: 3.6399e-05 (best: 4.9176e-05/3.8806e-05)
>> epoch [   8/3000], runtime: 9.59s, train loss: 4.6159e-05, valid loss: 3.4486e-05 , test loss: 1.0719e-03
>> epoch [   9/3000], runtime:  9.56s, train loss: 3.9920e-05 (best: 4.6159e-05/3.4486e-05)
>> epoch [  10/3000], runtime:  9.56s, train loss: 3.6058e-05 (best: 4.6159e-05/3.4486e-05)
>> epoch [  11/3000], runtime:  9.56s, train loss: 5.0890e-05 (best: 4.6159e-05/3.4486e-05)
>> epoch [  12/3000], runtime:  9.57s, train loss: 6.5963e-05 (best: 4.6159e-05/3.4486e-05)
>> epoch [  13/3000], runtime:  9.52s, train loss: 7.8576e-05 (best: 4.6159e-05/3.4486e-05)
>> epoch [  14/3000], runtime: 9.52s, train loss: 3.4198e-05, valid loss: 2.9208e-05 , test loss: 3.9190e-04
>> epoch [  15/3000], runtime:  9.52s, train loss: 3.5307e-05 (best: 3.4198e-05/2.9208e-05)
>> epoch [  16/3000], runtime:  9.52s, train loss: 3.2722e-05 (best: 3.4198e-05/2.9208e-05)
>> epoch [  17/3000], runtime:  9.48s, train loss: 3.4605e-05 (best: 3.4198e-05/2.9208e-05)
>> epoch [  18/3000], runtime:  9.49s, train loss: 5.0001e-05 (best: 3.4198e-05/2.9208e-05)
>> epoch [  19/3000], runtime:  9.51s, train loss: 4.1294e-05 (best: 3.4198e-05/2.9208e-05)
>> epoch [  20/3000], runtime:  9.52s, train loss: 2.7245e-05 (best: 3.4198e-05/2.9208e-05)
>> epoch [  21/3000], runtime: 9.50s, train loss: 2.8286e-05, valid loss: 1.1617e-05 , test loss: 3.0486e-04
>> epoch [  22/3000], runtime:  9.50s, train loss: 2.6455e-05 (best: 2.8286e-05/1.1617e-05)
>> epoch [  23/3000], runtime:  9.48s, train loss: 3.4022e-05 (best: 2.8286e-05/1.1617e-05)
>> epoch [  24/3000], runtime:  9.49s, train loss: 2.2628e-05 (best: 2.8286e-05/1.1617e-05)
>> epoch [  25/3000], runtime:  9.50s, train loss: 2.8222e-05 (best: 2.8286e-05/1.1617e-05)
>> epoch [  26/3000], runtime:  9.53s, train loss: 4.1292e-05 (best: 2.8286e-05/1.1617e-05)
>> epoch [  27/3000], runtime:  9.51s, train loss: 3.8620e-05 (best: 2.8286e-05/1.1617e-05)
>> epoch [  28/3000], runtime:  9.50s, train loss: 2.0885e-05 (best: 2.8286e-05/1.1617e-05)
>> epoch [  29/3000], runtime:  9.53s, train loss: 2.7141e-05 (best: 2.8286e-05/1.1617e-05)
>> epoch [  30/3000], runtime:  9.53s, train loss: 3.1693e-05 (best: 2.8286e-05/1.1617e-05)
>> epoch [  31/3000], runtime:  9.56s, train loss: 2.9627e-05 (best: 2.8286e-05/1.1617e-05)
>> epoch [  32/3000], runtime:  9.56s, train loss: 3.9981e-05 (best: 2.8286e-05/1.1617e-05)
>> epoch [  33/3000], runtime:  9.51s, train loss: 3.6490e-05 (best: 2.8286e-05/1.1617e-05)
>> epoch [  34/3000], runtime:  9.48s, train loss: 5.2375e-05 (best: 2.8286e-05/1.1617e-05)
>> epoch [  35/3000], runtime:  9.49s, train loss: 2.6030e-05 (best: 2.8286e-05/1.1617e-05)
>> epoch [  36/3000], runtime:  9.52s, train loss: 1.8688e-05 (best: 2.8286e-05/1.1617e-05)
>> epoch [  37/3000], runtime:  9.50s, train loss: 1.9809e-05 (best: 2.8286e-05/1.1617e-05)
>> epoch [  38/3000], runtime:  9.51s, train loss: 2.0703e-05 (best: 2.8286e-05/1.1617e-05)
>> epoch [  39/3000], runtime:  9.52s, train loss: 2.9328e-05 (best: 2.8286e-05/1.1617e-05)
>> epoch [  40/3000], runtime: 9.50s, train loss: 2.5865e-05, valid loss: 1.0718e-05 , test loss: 1.8020e-04
>> epoch [  41/3000], runtime:  9.53s, train loss: 2.5578e-05 (best: 2.5865e-05/1.0718e-05)
>> epoch [  42/3000], runtime:  9.49s, train loss: 1.9964e-05 (best: 2.5865e-05/1.0718e-05)
>> epoch [  43/3000], runtime:  9.51s, train loss: 1.7238e-05 (best: 2.5865e-05/1.0718e-05)
>> epoch [  44/3000], runtime:  9.51s, train loss: 1.6767e-05 (best: 2.5865e-05/1.0718e-05)
>> epoch [  45/3000], runtime:  9.52s, train loss: 2.1081e-05 (best: 2.5865e-05/1.0718e-05)
>> epoch [  46/3000], runtime:  9.51s, train loss: 1.5564e-05 (best: 2.5865e-05/1.0718e-05)
>> epoch [  47/3000], runtime:  9.49s, train loss: 2.7451e-05 (best: 2.5865e-05/1.0718e-05)
>> epoch [  48/3000], runtime:  9.51s, train loss: 1.5638e-05 (best: 2.5865e-05/1.0718e-05)
>> epoch [  49/3000], runtime:  9.51s, train loss: 1.5011e-05 (best: 2.5865e-05/1.0718e-05)
>> epoch [  50/3000], runtime:  9.51s, train loss: 1.2812e-05 (best: 2.5865e-05/1.0718e-05)
>> epoch [  51/3000], runtime:  9.50s, train loss: 1.3777e-05 (best: 2.5865e-05/1.0718e-05)
>> epoch [  52/3000], runtime:  9.53s, train loss: 1.4614e-05 (best: 2.5865e-05/1.0718e-05)
>> epoch [  53/3000], runtime:  9.51s, train loss: 1.5062e-05 (best: 2.5865e-05/1.0718e-05)
>> epoch [  54/3000], runtime: 9.49s, train loss: 1.0989e-05, valid loss: 6.2251e-06 , test loss: 1.4688e-04
>> epoch [  55/3000], runtime:  9.50s, train loss: 1.0387e-05 (best: 1.0989e-05/6.2251e-06)
>> epoch [  56/3000], runtime:  9.50s, train loss: 1.3651e-05 (best: 1.0989e-05/6.2251e-06)
>> epoch [  57/3000], runtime:  9.50s, train loss: 1.1415e-05 (best: 1.0989e-05/6.2251e-06)
>> epoch [  58/3000], runtime:  9.51s, train loss: 9.1529e-06 (best: 1.0989e-05/6.2251e-06)
>> epoch [  59/3000], runtime:  9.52s, train loss: 1.3348e-05 (best: 1.0989e-05/6.2251e-06)
>> epoch [  60/3000], runtime:  9.51s, train loss: 1.1031e-05 (best: 1.0989e-05/6.2251e-06)
>> epoch [  61/3000], runtime:  9.49s, train loss: 1.1670e-05 (best: 1.0989e-05/6.2251e-06)
>> epoch [  62/3000], runtime:  9.52s, train loss: 1.6162e-05 (best: 1.0989e-05/6.2251e-06)
>> epoch [  63/3000], runtime:  9.49s, train loss: 1.7925e-05 (best: 1.0989e-05/6.2251e-06)
>> epoch [  64/3000], runtime:  9.50s, train loss: 1.5534e-05 (best: 1.0989e-05/6.2251e-06)
>> epoch [  65/3000], runtime:  9.50s, train loss: 1.6585e-05 (best: 1.0989e-05/6.2251e-06)
>> epoch [  66/3000], runtime:  9.49s, train loss: 1.1061e-05 (best: 1.0989e-05/6.2251e-06)
>> epoch [  67/3000], runtime:  9.50s, train loss: 1.2617e-05 (best: 1.0989e-05/6.2251e-06)
>> epoch [  68/3000], runtime:  9.49s, train loss: 1.7226e-05 (best: 1.0989e-05/6.2251e-06)
>> epoch [  69/3000], runtime:  9.50s, train loss: 1.5342e-05 (best: 1.0989e-05/6.2251e-06)
>> epoch [  70/3000], runtime:  9.49s, train loss: 1.5354e-05 (best: 1.0989e-05/6.2251e-06)
>> epoch [  71/3000], runtime:  9.51s, train loss: 2.0820e-05 (best: 1.0989e-05/6.2251e-06)
>> epoch [  72/3000], runtime:  9.49s, train loss: 1.4519e-05 (best: 1.0989e-05/6.2251e-06)
>> epoch [  73/3000], runtime:  9.48s, train loss: 1.3833e-05 (best: 1.0989e-05/6.2251e-06)
>> epoch [  74/3000], runtime:  9.49s, train loss: 1.5824e-05 (best: 1.0989e-05/6.2251e-06)
>> epoch [  75/3000], runtime:  9.49s, train loss: 1.3625e-05 (best: 1.0989e-05/6.2251e-06)
>> epoch [  76/3000], runtime:  9.49s, train loss: 7.7064e-06 (best: 1.0989e-05/6.2251e-06)
>> epoch [  77/3000], runtime:  9.52s, train loss: 8.1821e-06 (best: 1.0989e-05/6.2251e-06)
>> epoch [  78/3000], runtime:  9.49s, train loss: 8.8146e-06 (best: 1.0989e-05/6.2251e-06)
>> epoch [  79/3000], runtime:  9.52s, train loss: 9.7878e-06 (best: 1.0989e-05/6.2251e-06)
>> epoch [  80/3000], runtime:  9.51s, train loss: 1.8643e-05 (best: 1.0989e-05/6.2251e-06)
>> epoch [  81/3000], runtime:  9.50s, train loss: 1.5459e-05 (best: 1.0989e-05/6.2251e-06)
>> epoch [  82/3000], runtime:  9.48s, train loss: 8.9828e-06 (best: 1.0989e-05/6.2251e-06)
>> epoch [  83/3000], runtime:  9.47s, train loss: 8.4162e-06 (best: 1.0989e-05/6.2251e-06)
>> epoch [  84/3000], runtime:  9.49s, train loss: 9.9575e-06 (best: 1.0989e-05/6.2251e-06)
>> epoch [  85/3000], runtime:  9.50s, train loss: 1.2586e-05 (best: 1.0989e-05/6.2251e-06)
>> epoch [  86/3000], runtime:  9.51s, train loss: 1.4958e-05 (best: 1.0989e-05/6.2251e-06)
>> epoch [  87/3000], runtime:  9.48s, train loss: 1.4945e-05 (best: 1.0989e-05/6.2251e-06)
>> epoch [  88/3000], runtime:  9.49s, train loss: 1.0603e-05 (best: 1.0989e-05/6.2251e-06)
