PID: 10662
>> Device being used: cuda (NVIDIA GeForce RTX 4090)
Total number of parameters: 49921
>> Training Mesh resolution: 49x49
>> grid: torch.Size([2401, 2]), edge_index: torch.Size([2, 410273]), edge_attr: torch.Size([410273, 2])
>> Preprocessing completed, time elapsed:  63.85s
>> ntrain: 80, lr: 0.01, gamma: 0.5, w_d: 0.0
----------------------------------------------------------------------------------------------------
>> epoch [  1/500], runtime: 1.63s, train err: 1.7802e-01, valid err: 1.3709e-01 , test err: 1.4168e-01
>> epoch [  2/500], runtime: 1.40s, train err: 5.3927e-02, valid err: 1.1026e-02 , test err: 1.0991e-02
>> epoch [  3/500], runtime:  1.41s, train err: 1.1870e-02 (best: 5.3927e-02/1.1026e-02)
>> epoch [  4/500], runtime: 1.42s, train err: 1.0012e-02, valid err: 8.4531e-03 , test err: 8.5192e-03
>> epoch [  5/500], runtime:  1.36s, train err: 8.7098e-03 (best: 1.0012e-02/8.4531e-03)
>> epoch [  6/500], runtime:  1.40s, train err: 9.1809e-03 (best: 1.0012e-02/8.4531e-03)
>> epoch [  7/500], runtime: 1.40s, train err: 8.9819e-03, valid err: 8.3744e-03 , test err: 8.4161e-03
>> epoch [  8/500], runtime: 1.40s, train err: 8.7829e-03, valid err: 8.3387e-03 , test err: 8.3899e-03
>> epoch [  9/500], runtime:  1.42s, train err: 8.6377e-03 (best: 8.7829e-03/8.3387e-03)
>> epoch [ 10/500], runtime:  1.42s, train err: 8.9249e-03 (best: 8.7829e-03/8.3387e-03)
>> epoch [ 11/500], runtime:  1.40s, train err: 1.3702e-02 (best: 8.7829e-03/8.3387e-03)
>> epoch [ 12/500], runtime:  1.40s, train err: 8.7298e-03 (best: 8.7829e-03/8.3387e-03)
>> epoch [ 13/500], runtime:  1.40s, train err: 8.7063e-03 (best: 8.7829e-03/8.3387e-03)
>> epoch [ 14/500], runtime:  1.41s, train err: 8.8791e-03 (best: 8.7829e-03/8.3387e-03)
>> epoch [ 15/500], runtime:  1.41s, train err: 8.6215e-03 (best: 8.7829e-03/8.3387e-03)
>> epoch [ 16/500], runtime:  1.39s, train err: 8.8727e-03 (best: 8.7829e-03/8.3387e-03)
>> epoch [ 17/500], runtime:  1.37s, train err: 8.6512e-03 (best: 8.7829e-03/8.3387e-03)
