PID: 32250
>> Device being used: cuda (NVIDIA GeForce RTX 4090)
Total number of parameters: 12673
>> Training Mesh resolution: 49x49
>> grid: torch.Size([2401, 2]), edge_index: torch.Size([2, 410273]), edge_attr: torch.Size([410273, 2])
>> Preprocessing completed, time elapsed:  64.63s
>> ntrain: 80, lr: 0.01, gamma: 0.5, w_d: 0.0001
----------------------------------------------------------------------------------------------------
>> epoch [  1/500], runtime: 0.99s, train err: 1.3184e-01, valid err: 2.2320e-02 , test err: 2.2249e-02
>> epoch [  2/500], runtime: 0.79s, train err: 1.0970e-02, valid err: 8.4593e-03 , test err: 8.4693e-03
>> epoch [  3/500], runtime:  0.81s, train err: 9.5320e-03 (best: 1.0970e-02/8.4593e-03)
>> epoch [  4/500], runtime: 0.76s, train err: 9.4283e-03, valid err: 8.3298e-03 , test err: 8.4115e-03
>> epoch [  5/500], runtime:  0.78s, train err: 9.0211e-03 (best: 9.4283e-03/8.3298e-03)
>> epoch [  6/500], runtime:  0.75s, train err: 9.5952e-03 (best: 9.4283e-03/8.3298e-03)
>> epoch [  7/500], runtime:  0.74s, train err: 1.0004e-02 (best: 9.4283e-03/8.3298e-03)
>> epoch [  8/500], runtime:  0.75s, train err: 9.9472e-03 (best: 9.4283e-03/8.3298e-03)
>> epoch [  9/500], runtime:  0.75s, train err: 9.1374e-03 (best: 9.4283e-03/8.3298e-03)
>> epoch [ 10/500], runtime: 0.76s, train err: 8.7497e-03, valid err: 8.3003e-03 , test err: 8.3499e-03
>> epoch [ 11/500], runtime:  0.75s, train err: 9.3502e-03 (best: 8.7497e-03/8.3003e-03)
>> epoch [ 12/500], runtime:  0.73s, train err: 9.1405e-03 (best: 8.7497e-03/8.3003e-03)
>> epoch [ 13/500], runtime:  0.72s, train err: 9.3540e-03 (best: 8.7497e-03/8.3003e-03)
>> epoch [ 14/500], runtime:  0.74s, train err: 8.7791e-03 (best: 8.7497e-03/8.3003e-03)
>> epoch [ 15/500], runtime:  0.73s, train err: 9.0846e-03 (best: 8.7497e-03/8.3003e-03)
>> epoch [ 16/500], runtime:  0.73s, train err: 9.2615e-03 (best: 8.7497e-03/8.3003e-03)
>> epoch [ 17/500], runtime:  0.74s, train err: 1.0126e-02 (best: 8.7497e-03/8.3003e-03)
>> epoch [ 18/500], runtime:  0.74s, train err: 8.7379e-03 (best: 8.7497e-03/8.3003e-03)
>> epoch [ 19/500], runtime:  0.72s, train err: 9.3016e-03 (best: 8.7497e-03/8.3003e-03)
>> epoch [ 20/500], runtime:  0.72s, train err: 9.4715e-03 (best: 8.7497e-03/8.3003e-03)
>> epoch [ 21/500], runtime:  0.72s, train err: 8.8917e-03 (best: 8.7497e-03/8.3003e-03)
>> epoch [ 22/500], runtime:  0.75s, train err: 9.4322e-03 (best: 8.7497e-03/8.3003e-03)
>> epoch [ 23/500], runtime:  0.76s, train err: 9.8921e-03 (best: 8.7497e-03/8.3003e-03)
>> epoch [ 24/500], runtime:  0.76s, train err: 9.0040e-03 (best: 8.7497e-03/8.3003e-03)
>> epoch [ 25/500], runtime:  0.77s, train err: 8.9689e-03 (best: 8.7497e-03/8.3003e-03)
>> epoch [ 26/500], runtime:  0.76s, train err: 8.9262e-03 (best: 8.7497e-03/8.3003e-03)
>> epoch [ 27/500], runtime:  0.76s, train err: 9.2420e-03 (best: 8.7497e-03/8.3003e-03)
>> epoch [ 28/500], runtime:  0.75s, train err: 8.6689e-03 (best: 8.7497e-03/8.3003e-03)
>> epoch [ 29/500], runtime:  0.76s, train err: 8.6353e-03 (best: 8.7497e-03/8.3003e-03)
>> epoch [ 30/500], runtime:  0.77s, train err: 8.8015e-03 (best: 8.7497e-03/8.3003e-03)
>> epoch [ 31/500], runtime:  0.78s, train err: 9.9920e-03 (best: 8.7497e-03/8.3003e-03)
>> epoch [ 32/500], runtime:  0.76s, train err: 9.0140e-03 (best: 8.7497e-03/8.3003e-03)
>> epoch [ 33/500], runtime:  0.78s, train err: 8.8420e-03 (best: 8.7497e-03/8.3003e-03)
>> epoch [ 34/500], runtime:  0.76s, train err: 9.1324e-03 (best: 8.7497e-03/8.3003e-03)
>> epoch [ 35/500], runtime:  0.77s, train err: 9.1038e-03 (best: 8.7497e-03/8.3003e-03)
>> epoch [ 36/500], runtime:  0.77s, train err: 9.3008e-03 (best: 8.7497e-03/8.3003e-03)
>> epoch [ 37/500], runtime:  0.75s, train err: 8.8822e-03 (best: 8.7497e-03/8.3003e-03)
>> epoch [ 38/500], runtime:  0.75s, train err: 8.9116e-03 (best: 8.7497e-03/8.3003e-03)
>> epoch [ 39/500], runtime:  0.74s, train err: 9.1645e-03 (best: 8.7497e-03/8.3003e-03)
>> epoch [ 40/500], runtime:  0.76s, train err: 9.4546e-03 (best: 8.7497e-03/8.3003e-03)
>> epoch [ 41/500], runtime:  0.75s, train err: 8.9341e-03 (best: 8.7497e-03/8.3003e-03)
>> epoch [ 42/500], runtime:  0.75s, train err: 9.0741e-03 (best: 8.7497e-03/8.3003e-03)
>> epoch [ 43/500], runtime:  0.75s, train err: 9.2010e-03 (best: 8.7497e-03/8.3003e-03)
>> epoch [ 44/500], runtime:  0.75s, train err: 8.9815e-03 (best: 8.7497e-03/8.3003e-03)
>> epoch [ 45/500], runtime:  0.75s, train err: 8.6087e-03 (best: 8.7497e-03/8.3003e-03)
>> epoch [ 46/500], runtime:  0.77s, train err: 1.0060e-02 (best: 8.7497e-03/8.3003e-03)
>> epoch [ 47/500], runtime:  0.75s, train err: 8.7895e-03 (best: 8.7497e-03/8.3003e-03)
>> epoch [ 48/500], runtime: 0.77s, train err: 8.7101e-03, valid err: 8.2331e-03 , test err: 8.3122e-03
>> epoch [ 49/500], runtime:  0.78s, train err: 8.6793e-03 (best: 8.7101e-03/8.2331e-03)
>> epoch [ 50/500], runtime:  0.76s, train err: 9.0419e-03 (best: 8.7101e-03/8.2331e-03)
>> epoch [ 51/500], runtime: 0.77s, train err: 8.3490e-03, valid err: 8.2145e-03 , test err: 8.2791e-03
>> epoch [ 52/500], runtime:  0.77s, train err: 8.3659e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 53/500], runtime:  0.77s, train err: 8.5905e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 54/500], runtime:  0.77s, train err: 8.3507e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 55/500], runtime:  0.76s, train err: 8.4332e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 56/500], runtime:  0.76s, train err: 8.4162e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 57/500], runtime:  0.77s, train err: 8.5922e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 58/500], runtime:  0.76s, train err: 8.9147e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 59/500], runtime:  0.75s, train err: 8.5782e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 60/500], runtime:  0.77s, train err: 8.4481e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 61/500], runtime:  0.76s, train err: 8.3639e-03 (best: 8.3490e-03/8.2145e-03)
>> epoch [ 62/500], runtime:  0.75s, train err: 8.3363e-03 (best: 8.3490e-03/8.2145e-03)
