PID: 33715
>> Device being used: cuda (NVIDIA GeForce RTX 4090)
Total number of parameters: 12673
>> Training Mesh resolution: 49x49
>> grid: torch.Size([2401, 2]), edge_index: torch.Size([2, 410273]), edge_attr: torch.Size([410273, 2])
>> Preprocessing completed, time elapsed:  62.64s
>> ntrain: 80, lr: 0.005, gamma: 0.5, w_d: 0.0001
----------------------------------------------------------------------------------------------------
>> epoch [  1/500], runtime: 1.43s, train err: 1.4654e-01, valid err: 3.3355e-02 , test err: 3.3569e-02
>> epoch [  2/500], runtime: 1.24s, train err: 1.1924e-02, valid err: 8.6413e-03 , test err: 8.6850e-03
>> epoch [  3/500], runtime:  1.23s, train err: 9.1909e-03 (best: 1.1924e-02/8.6413e-03)
>> epoch [  4/500], runtime: 1.19s, train err: 9.5413e-03, valid err: 8.2478e-03 , test err: 8.3149e-03
>> epoch [  5/500], runtime:  1.26s, train err: 8.9864e-03 (best: 9.5413e-03/8.2478e-03)
>> epoch [  6/500], runtime:  1.21s, train err: 8.6548e-03 (best: 9.5413e-03/8.2478e-03)
>> epoch [  7/500], runtime:  1.22s, train err: 9.3255e-03 (best: 9.5413e-03/8.2478e-03)
>> epoch [  8/500], runtime:  1.23s, train err: 8.8114e-03 (best: 9.5413e-03/8.2478e-03)
>> epoch [  9/500], runtime:  1.24s, train err: 8.8794e-03 (best: 9.5413e-03/8.2478e-03)
>> epoch [ 10/500], runtime:  1.23s, train err: 8.9081e-03 (best: 9.5413e-03/8.2478e-03)
>> epoch [ 11/500], runtime: 1.25s, train err: 8.5475e-03, valid err: 8.2056e-03 , test err: 8.3006e-03
>> epoch [ 12/500], runtime:  1.23s, train err: 9.6598e-03 (best: 8.5475e-03/8.2056e-03)
>> epoch [ 13/500], runtime:  1.22s, train err: 9.5506e-03 (best: 8.5475e-03/8.2056e-03)
>> epoch [ 14/500], runtime:  1.19s, train err: 9.0568e-03 (best: 8.5475e-03/8.2056e-03)
>> epoch [ 15/500], runtime:  1.15s, train err: 9.0550e-03 (best: 8.5475e-03/8.2056e-03)
>> epoch [ 16/500], runtime:  1.20s, train err: 8.7812e-03 (best: 8.5475e-03/8.2056e-03)
>> epoch [ 17/500], runtime:  1.19s, train err: 9.6229e-03 (best: 8.5475e-03/8.2056e-03)
>> epoch [ 18/500], runtime:  1.20s, train err: 8.9590e-03 (best: 8.5475e-03/8.2056e-03)
>> epoch [ 19/500], runtime:  1.21s, train err: 8.7188e-03 (best: 8.5475e-03/8.2056e-03)
>> epoch [ 20/500], runtime:  1.20s, train err: 9.1322e-03 (best: 8.5475e-03/8.2056e-03)
>> epoch [ 21/500], runtime:  1.20s, train err: 8.9820e-03 (best: 8.5475e-03/8.2056e-03)
>> epoch [ 22/500], runtime:  1.16s, train err: 8.8606e-03 (best: 8.5475e-03/8.2056e-03)
>> epoch [ 23/500], runtime:  1.19s, train err: 9.5224e-03 (best: 8.5475e-03/8.2056e-03)
>> epoch [ 24/500], runtime:  1.26s, train err: 9.6728e-03 (best: 8.5475e-03/8.2056e-03)
>> epoch [ 25/500], runtime:  1.24s, train err: 8.7836e-03 (best: 8.5475e-03/8.2056e-03)
>> epoch [ 26/500], runtime:  1.16s, train err: 9.3257e-03 (best: 8.5475e-03/8.2056e-03)
>> epoch [ 27/500], runtime:  1.26s, train err: 8.7734e-03 (best: 8.5475e-03/8.2056e-03)
>> epoch [ 28/500], runtime:  1.24s, train err: 8.6769e-03 (best: 8.5475e-03/8.2056e-03)
>> epoch [ 29/500], runtime:  1.25s, train err: 9.0220e-03 (best: 8.5475e-03/8.2056e-03)
>> epoch [ 30/500], runtime:  1.21s, train err: 8.6817e-03 (best: 8.5475e-03/8.2056e-03)
>> epoch [ 31/500], runtime:  1.25s, train err: 9.0086e-03 (best: 8.5475e-03/8.2056e-03)
>> epoch [ 32/500], runtime:  1.25s, train err: 8.5565e-03 (best: 8.5475e-03/8.2056e-03)
>> epoch [ 33/500], runtime:  1.25s, train err: 9.0303e-03 (best: 8.5475e-03/8.2056e-03)
>> epoch [ 34/500], runtime:  1.25s, train err: 8.7999e-03 (best: 8.5475e-03/8.2056e-03)
>> epoch [ 35/500], runtime:  1.24s, train err: 9.2272e-03 (best: 8.5475e-03/8.2056e-03)
>> epoch [ 36/500], runtime:  1.24s, train err: 8.6630e-03 (best: 8.5475e-03/8.2056e-03)
>> epoch [ 37/500], runtime:  1.23s, train err: 8.9644e-03 (best: 8.5475e-03/8.2056e-03)
>> epoch [ 38/500], runtime:  1.25s, train err: 8.8454e-03 (best: 8.5475e-03/8.2056e-03)
>> epoch [ 39/500], runtime:  1.25s, train err: 8.9833e-03 (best: 8.5475e-03/8.2056e-03)
>> epoch [ 40/500], runtime:  1.26s, train err: 8.6138e-03 (best: 8.5475e-03/8.2056e-03)
>> epoch [ 41/500], runtime:  1.28s, train err: 8.8752e-03 (best: 8.5475e-03/8.2056e-03)
>> epoch [ 42/500], runtime:  1.27s, train err: 8.8249e-03 (best: 8.5475e-03/8.2056e-03)
>> epoch [ 43/500], runtime:  1.25s, train err: 9.1157e-03 (best: 8.5475e-03/8.2056e-03)
>> epoch [ 44/500], runtime:  1.25s, train err: 8.5577e-03 (best: 8.5475e-03/8.2056e-03)
>> epoch [ 45/500], runtime:  1.25s, train err: 9.8815e-03 (best: 8.5475e-03/8.2056e-03)
>> epoch [ 46/500], runtime:  1.24s, train err: 8.6940e-03 (best: 8.5475e-03/8.2056e-03)
>> epoch [ 47/500], runtime:  1.25s, train err: 8.3776e-03 (best: 8.5475e-03/8.2056e-03)
>> epoch [ 48/500], runtime:  1.28s, train err: 8.7459e-03 (best: 8.5475e-03/8.2056e-03)
