PID: 36440
>> Device being used: cuda (NVIDIA GeForce RTX 4090)
Total number of parameters: 12673
>> Training Mesh resolution: 49x49
>> grid: torch.Size([2401, 2]), edge_index: torch.Size([2, 410273]), edge_attr: torch.Size([410273, 2])
>> Preprocessing completed, time elapsed:  62.43s
>> ntrain: 80, lr: 0.001, gamma: 0.5, w_d: 0.0001
----------------------------------------------------------------------------------------------------
>> epoch [  1/500], runtime: 1.50s, train err: 1.7739e-01, valid err: 1.4741e-01 , test err: 1.5242e-01
>> epoch [  2/500], runtime: 1.22s, train err: 1.1841e-01, valid err: 5.9493e-02 , test err: 6.0144e-02
>> epoch [  3/500], runtime: 1.23s, train err: 1.6482e-02, valid err: 8.5663e-03 , test err: 8.7524e-03
>> epoch [  4/500], runtime: 1.24s, train err: 8.8490e-03, valid err: 8.2592e-03 , test err: 8.4148e-03
>> epoch [  5/500], runtime: 1.22s, train err: 8.5493e-03, valid err: 8.2021e-03 , test err: 8.2970e-03
>> epoch [  6/500], runtime: 1.24s, train err: 8.4041e-03, valid err: 8.1825e-03 , test err: 8.2936e-03
>> epoch [  7/500], runtime:  1.23s, train err: 8.3873e-03 (best: 8.4041e-03/8.1825e-03)
>> epoch [  8/500], runtime:  1.24s, train err: 8.4429e-03 (best: 8.4041e-03/8.1825e-03)
>> epoch [  9/500], runtime:  1.23s, train err: 8.5840e-03 (best: 8.4041e-03/8.1825e-03)
>> epoch [ 10/500], runtime:  1.23s, train err: 8.4836e-03 (best: 8.4041e-03/8.1825e-03)
>> epoch [ 11/500], runtime:  1.25s, train err: 8.5122e-03 (best: 8.4041e-03/8.1825e-03)
>> epoch [ 12/500], runtime:  1.23s, train err: 8.3376e-03 (best: 8.4041e-03/8.1825e-03)
>> epoch [ 13/500], runtime: 1.23s, train err: 8.3582e-03, valid err: 8.1375e-03 , test err: 8.2267e-03
>> epoch [ 14/500], runtime:  1.21s, train err: 8.3286e-03 (best: 8.3582e-03/8.1375e-03)
>> epoch [ 15/500], runtime:  1.19s, train err: 8.5598e-03 (best: 8.3582e-03/8.1375e-03)
>> epoch [ 16/500], runtime:  1.22s, train err: 8.4128e-03 (best: 8.3582e-03/8.1375e-03)
>> epoch [ 17/500], runtime:  1.23s, train err: 8.5070e-03 (best: 8.3582e-03/8.1375e-03)
>> epoch [ 18/500], runtime:  1.20s, train err: 8.4379e-03 (best: 8.3582e-03/8.1375e-03)
>> epoch [ 19/500], runtime:  1.20s, train err: 8.6372e-03 (best: 8.3582e-03/8.1375e-03)
>> epoch [ 20/500], runtime:  1.23s, train err: 8.3243e-03 (best: 8.3582e-03/8.1375e-03)
>> epoch [ 21/500], runtime:  1.24s, train err: 8.3399e-03 (best: 8.3582e-03/8.1375e-03)
>> epoch [ 22/500], runtime:  1.20s, train err: 8.3990e-03 (best: 8.3582e-03/8.1375e-03)
>> epoch [ 23/500], runtime:  1.23s, train err: 8.7328e-03 (best: 8.3582e-03/8.1375e-03)
>> epoch [ 24/500], runtime:  1.28s, train err: 8.6517e-03 (best: 8.3582e-03/8.1375e-03)
>> epoch [ 25/500], runtime:  1.24s, train err: 8.4695e-03 (best: 8.3582e-03/8.1375e-03)
>> epoch [ 26/500], runtime:  1.23s, train err: 8.5577e-03 (best: 8.3582e-03/8.1375e-03)
>> epoch [ 27/500], runtime:  1.22s, train err: 8.3630e-03 (best: 8.3582e-03/8.1375e-03)
>> epoch [ 28/500], runtime:  1.22s, train err: 8.4983e-03 (best: 8.3582e-03/8.1375e-03)
>> epoch [ 29/500], runtime:  1.21s, train err: 8.5254e-03 (best: 8.3582e-03/8.1375e-03)
>> epoch [ 30/500], runtime:  1.21s, train err: 8.6247e-03 (best: 8.3582e-03/8.1375e-03)
>> epoch [ 31/500], runtime:  1.23s, train err: 8.5231e-03 (best: 8.3582e-03/8.1375e-03)
>> epoch [ 32/500], runtime:  1.23s, train err: 8.2542e-03 (best: 8.3582e-03/8.1375e-03)
>> epoch [ 33/500], runtime:  1.22s, train err: 8.5627e-03 (best: 8.3582e-03/8.1375e-03)
>> epoch [ 34/500], runtime:  1.23s, train err: 8.5800e-03 (best: 8.3582e-03/8.1375e-03)
>> epoch [ 35/500], runtime:  1.21s, train err: 8.3799e-03 (best: 8.3582e-03/8.1375e-03)
>> epoch [ 36/500], runtime:  1.24s, train err: 8.4476e-03 (best: 8.3582e-03/8.1375e-03)
>> epoch [ 37/500], runtime:  1.22s, train err: 8.4668e-03 (best: 8.3582e-03/8.1375e-03)
>> epoch [ 38/500], runtime:  1.19s, train err: 8.4609e-03 (best: 8.3582e-03/8.1375e-03)
>> epoch [ 39/500], runtime:  1.21s, train err: 8.6783e-03 (best: 8.3582e-03/8.1375e-03)
>> epoch [ 40/500], runtime:  1.19s, train err: 8.3319e-03 (best: 8.3582e-03/8.1375e-03)
>> epoch [ 41/500], runtime:  1.21s, train err: 8.3463e-03 (best: 8.3582e-03/8.1375e-03)
>> epoch [ 42/500], runtime:  1.20s, train err: 8.4306e-03 (best: 8.3582e-03/8.1375e-03)
>> epoch [ 43/500], runtime:  1.22s, train err: 8.3673e-03 (best: 8.3582e-03/8.1375e-03)
>> epoch [ 44/500], runtime:  1.22s, train err: 8.3917e-03 (best: 8.3582e-03/8.1375e-03)
>> epoch [ 45/500], runtime:  1.22s, train err: 9.2603e-03 (best: 8.3582e-03/8.1375e-03)
>> epoch [ 46/500], runtime:  1.22s, train err: 8.4371e-03 (best: 8.3582e-03/8.1375e-03)
>> epoch [ 47/500], runtime:  1.21s, train err: 8.5076e-03 (best: 8.3582e-03/8.1375e-03)
>> epoch [ 48/500], runtime:  1.23s, train err: 8.6601e-03 (best: 8.3582e-03/8.1375e-03)
>> epoch [ 49/500], runtime:  1.20s, train err: 8.3016e-03 (best: 8.3582e-03/8.1375e-03)
>> epoch [ 50/500], runtime:  1.22s, train err: 8.4145e-03 (best: 8.3582e-03/8.1375e-03)
>> epoch [ 51/500], runtime:  1.20s, train err: 8.4545e-03 (best: 8.3582e-03/8.1375e-03)
>> epoch [ 52/500], runtime: 1.22s, train err: 8.2422e-03, valid err: 8.1280e-03 , test err: 8.2034e-03
>> epoch [ 53/500], runtime:  1.25s, train err: 8.2806e-03 (best: 8.2422e-03/8.1280e-03)
>> epoch [ 54/500], runtime:  1.22s, train err: 8.2757e-03 (best: 8.2422e-03/8.1280e-03)
>> epoch [ 55/500], runtime:  1.23s, train err: 8.3607e-03 (best: 8.2422e-03/8.1280e-03)
>> epoch [ 56/500], runtime:  1.24s, train err: 8.3366e-03 (best: 8.2422e-03/8.1280e-03)
>> epoch [ 57/500], runtime:  1.22s, train err: 8.2353e-03 (best: 8.2422e-03/8.1280e-03)
>> epoch [ 58/500], runtime:  1.26s, train err: 8.2051e-03 (best: 8.2422e-03/8.1280e-03)
>> epoch [ 59/500], runtime:  1.21s, train err: 8.2989e-03 (best: 8.2422e-03/8.1280e-03)
>> epoch [ 60/500], runtime:  1.21s, train err: 8.2096e-03 (best: 8.2422e-03/8.1280e-03)
>> epoch [ 61/500], runtime:  1.22s, train err: 8.2740e-03 (best: 8.2422e-03/8.1280e-03)
>> epoch [ 62/500], runtime:  1.22s, train err: 8.2380e-03 (best: 8.2422e-03/8.1280e-03)
>> epoch [ 63/500], runtime:  1.27s, train err: 8.3211e-03 (best: 8.2422e-03/8.1280e-03)
>> epoch [ 64/500], runtime:  1.27s, train err: 8.2492e-03 (best: 8.2422e-03/8.1280e-03)
>> epoch [ 65/500], runtime:  1.28s, train err: 8.2457e-03 (best: 8.2422e-03/8.1280e-03)
>> epoch [ 66/500], runtime: 1.29s, train err: 8.2253e-03, valid err: 8.1158e-03 , test err: 8.2114e-03
