PID: 167375
>> Device being used: cuda (NVIDIA GeForce RTX 4090)
Total number of parameters: 202532
>> Preprocessing completed, time elapsed:  0.58s
>> ntrain: 200, lr: 0.001, gamma: 0.5, w_d: 0.0
>> epoch [   1/1000], runtime:  1.23s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [   2/1000], runtime:  0.93s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [   3/1000], runtime:  1.12s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [   4/1000], runtime:  1.25s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [   5/1000], runtime:  1.57s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [   6/1000], runtime:  1.78s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [   7/1000], runtime:  1.87s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [   8/1000], runtime:  2.00s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [   9/1000], runtime:  1.96s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  10/1000], runtime:  1.98s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  11/1000], runtime:  2.07s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  12/1000], runtime:  1.98s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  13/1000], runtime:  2.07s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  14/1000], runtime:  1.94s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  15/1000], runtime:  2.00s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  16/1000], runtime:  1.95s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  17/1000], runtime:  1.92s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  18/1000], runtime:  1.98s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  19/1000], runtime:  1.97s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  20/1000], runtime:  1.91s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  21/1000], runtime:  1.92s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  22/1000], runtime:  1.97s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  23/1000], runtime:  1.93s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  24/1000], runtime:  1.88s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  25/1000], runtime:  2.03s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  26/1000], runtime:  2.09s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  27/1000], runtime:  2.07s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  28/1000], runtime:  1.92s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  29/1000], runtime:  2.01s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  30/1000], runtime:  2.02s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  31/1000], runtime:  1.96s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  32/1000], runtime:  1.95s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  33/1000], runtime:  1.93s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  34/1000], runtime:  2.05s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  35/1000], runtime:  1.99s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  36/1000], runtime:  1.99s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  37/1000], runtime:  1.99s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  38/1000], runtime:  1.98s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  39/1000], runtime:  2.05s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  40/1000], runtime:  2.02s, train err:  nan (best:  100000000.0000/ 100000000.0000)
>> epoch [  41/1000], runtime:  2.03s, train err:  nan (best:  100000000.0000/ 100000000.0000)
