300, [0.005], [0.995, 0.998], 128_5, 0.03125: 1.6831212470371255e-05,3.0731540767393136e-06,3.854108783480614e-06,13
300, [0.005], [0.995, 0.998], 128_5, 0.015625: 2.648012897875814e-05,3.4442918576857335e-06,5.486573784409776e-06,4
300, [0.005], [0.995, 0.998], 128_5, 0.03125: 2.7663060204121933e-05,2.260387925755457e-06,4.287395861126054e-06,127
300, [0.005], [0.995, 0.998], 128_5, 0.0078125: 2.0305284094741672e-05,3.98563637503114e-06,4.514868694503402e-06,7
300, [0.005], [0.995, 0.998], 128_5, 0.015625: 2.1824887307770962e-05,2.462624104109658e-06,2.6355625192385168e-06,40
300, [0.005], [0.995, 0.998], 128_5, 0.0078125: 2.6509447307615156e-05,2.8228147175898553e-06,4.50432053339457e-06,22
300, [0.005], [0.995, 0.998], 128_5, 0.03125: 2.3838379592944274e-05,1.3516675228922642e-08,3.3115691364833165e-08,7
300, [0.005], [0.995, 0.998], 128_5, 0.015625: 1.842665595179139e-05,4.730724878458835e-09,4.168498126177956e-08,6
300, [0.01], [0.995, 0.998], 128_5, 0.00390625: 5.56219947832637e-08,8.215083225500037e-12,3.792390006232938e-09,95
300, [0.01], [0.99, 0.998], 128_5, 0.00390625: 8.407108916533503e-08,3.596432854777725e-12,5.232844835280008e-09,82
300, [0.01], [0.995, 0.998], 20_4, 0.00390625: 1.0480609487701882e-07,8.2349709255856e-11,4.0679781920564565e-09,64
300, [0.01], [0.99, 0.998], 20_4, 0.00390625: 1.391973671102307e-07,8.468380243739213e-11,5.299327288429771e-09,72
20_4, ReLU, 300, [0.01], [0.99, 0.998], 0.00390625: 0.003009189030623643,0.0028374080083274716,0.0025769736520039606,527
20_4, ReLU, 300, [0.01], [0.99, 0.998], 0.00390625: 0.002036055891113975,0.001838665079371872,0.0017979615915516666,582
20_4, Softplus, 300, [0.01], [0.99, 0.998], 0.00390625: 0.003009189030623643,0.0028374080083274716,0.0025769736520039606,527
20_4, ReLU, 300, [0.01], [0.99, 0.998], 0.00390625: 0.0009883973313686712,0.0008423274163447911,0.0008609617557691156,805
20_4, ReLU, 300, [0.01], [0.995, 0.998], 0.00390625: 0.000346258747619035,0.00027452169924204644,0.00032750147703230803,1196
20_4, ReLU, 300, [0.01], [0.99, 0.998], 0.00390625: 5.1175e+00,5.2201e+00,5.5956e+000
20_4, ReLU, 300, [0.01], [0.995, 0.998], 0.00390625: 5.1175e+00,5.2201e+00,5.5956e+000
20_4, ReLU, 300, [0.01], [0.995, 0.998], 0.00390625: 0.0004434680653120159,0.0003742380426011952,0.0004086504273268593,2977
20_4, ReLU, 300, [0.01], [0.995, 0.998], 0.00390625: 0.0007169037492284826,0.0006062345416946147,0.0006306210680044721,2995
20_4, Softplus, 300, [0.01], [0.995, 0.998], 0.00390625: 0.0007169037492284826,0.0006062345416946147,0.0006306210680044721,2995
20_4, Softplus, 300, [0.01], [0.99, 0.998], 0.00390625: 3.0092e-03,2.8374e-03,2.5770e-03527
20_4, Sigmoid, 300, [0.01], [0.995, 0.998], 0.00390625: 1.7591e-03,1.6365e-03,1.5694e-031260
20_4, Softplus, 300, [0.01], [0.995, 0.998], 0.00390625: 7.1690e-04,6.0623e-04,6.3062e-042995
20_4, Sigmoid, 300, [0.01], [0.99, 0.998], 0.00390625: 9.8480e-03,9.4544e-03,9.0930e-032996
128_5, Sigmoid, 300, [0.01], [0.99, 0.998], 0.00390625: 5.0204e-03,4.6181e-03,4.4470e-03610
128_5, Sigmoid, 300, [0.01], [0.995, 0.998], 0.00390625: 1.1264e-03,1.0162e-03,1.0555e-032973
128_5, Softplus, 300, [0.01], [0.995, 0.998], 0.00390625: 3.2314e-08,2.5301e-08,2.6584e-0898
128_5, Softplus, 300, [0.01], [0.995, 0.998], 0.00390625: 3.3469e-08,3.8005e-08,3.9584e-0891
128_5, Softplus, 300, [0.01], [0.995, 0.998], 0.00390625: 1.8869e-09,1.3050e-09,1.9217e-09821
128_5, Softplus, 300, [0.01], [0.995, 0.998], 0.00390625: 1.9542e-09,1.4386e-09,2.1680e-09716
