0, tensor([0.0006]), fsolve flag:1, 8.940696716308594e-08, 1314
1, tensor([0.0007]), fsolve flag:1, 5.21540641784668e-08, 1571
2, tensor([0.0008]), fsolve flag:5, 5.587935447692871e-08, 1310
3, tensor([0.0012]), fsolve flag:1, 5.960464477539063e-08, 796
4, tensor([0.0007]), fsolve flag:1, 4.842877388000488e-08, 1056
5, tensor([0.0008]), fsolve flag:1, 4.470348358154297e-08, 1053
6, tensor([0.0008]), fsolve flag:1, 4.7497451305389404e-08, 1052
7, tensor([0.0006]), fsolve flag:5, 5.960464477539063e-08, 795
8, tensor([0.0008]), fsolve flag:4, 5.21540641784668e-08, 1820
9, tensor([0.0009]), fsolve flag:1, 4.470348358154297e-08, 800
10, tensor([0.0008]), fsolve flag:1, 4.516914486885071e-08, 1570
11, tensor([0.0007]), fsolve flag:5, 5.587935447692871e-08, 1053
12, tensor([0.0013]), fsolve flag:1, 7.450580596923828e-08, 1571
13, tensor([0.0011]), fsolve flag:1, 4.470348358154297e-08, 1312
14, tensor([0.0007]), fsolve flag:1, 6.705522537231445e-08, 1314
15, tensor([0.0010]), fsolve flag:5, 7.450580596923828e-08, 1308
16, tensor([0.0009]), fsolve flag:5, 5.960464477539063e-08, 793
17, tensor([0.0012]), fsolve flag:1, 5.960464477539063e-08, 1572
18, tensor([0.0007]), fsolve flag:5, 5.960464477539063e-08, 1572
19, tensor([0.0008]), fsolve flag:4, 3.725290298461914e-08, 1822
20, tensor([0.0011]), fsolve flag:5, 5.78584149479866e-08, 1313
21, tensor([0.0009]), fsolve flag:1, 4.470348358154297e-08, 1831
22, tensor([0.0009]), fsolve flag:5, 5.21540641784668e-08, 797
23, tensor([0.0012]), fsolve flag:1, 4.842877388000488e-08, 1572
24, tensor([0.0009]), fsolve flag:1, 4.842877388000488e-08, 1573
25, tensor([0.0009]), fsolve flag:1, 6.007030606269836e-08, 1569
26, tensor([0.0009]), fsolve flag:1, 5.587935447692871e-08, 1571
27, tensor([0.0010]), fsolve flag:5, 4.470348358154297e-08, 1310
28, tensor([0.0008]), fsolve flag:1, 7.450580596923828e-08, 1055
29, tensor([0.0007]), fsolve flag:5, 5.21540641784668e-08, 795
30, tensor([0.0008]), fsolve flag:5, 5.960464477539063e-08, 795
31, tensor([0.0016]), fsolve flag:5, 6.705522537231445e-08, 1051
32, tensor([0.0010]), fsolve flag:1, 6.146728992462158e-08, 1314
33, tensor([0.0008]), fsolve flag:1, 4.842877388000488e-08, 1573
34, tensor([0.0009]), fsolve flag:1, 5.21540641784668e-08, 1313
35, tensor([0.0009]), fsolve flag:1, 5.21540641784668e-08, 1833
36, tensor([0.0009]), fsolve flag:1, 8.940696716308594e-08, 1051
37, tensor([0.0010]), fsolve flag:1, 4.470348358154297e-08, 1313
38, tensor([0.0009]), fsolve flag:5, 6.705522537231445e-08, 791
39, tensor([0.0012]), fsolve flag:1, 5.21540641784668e-08, 1309
40, tensor([0.0007]), fsolve flag:5, 5.21540641784668e-08, 1576
41, tensor([0.0007]), fsolve flag:4, 4.0978193283081055e-08, 2091
42, tensor([0.0006]), fsolve flag:4, 4.470348358154297e-08, 1826
43, tensor([0.0009]), fsolve flag:1, 7.078051567077637e-08, 1835
44, tensor([0.0011]), fsolve flag:5, 4.470348358154297e-08, 1315
45, tensor([0.0010]), fsolve flag:1, 5.960464477539063e-08, 540
46, tensor([0.0010]), fsolve flag:1, 4.0978193283081055e-08, 1314
47, tensor([0.0009]), fsolve flag:1, 5.960464477539063e-08, 1054
48, tensor([0.0008]), fsolve flag:4, 5.21540641784668e-08, 1826
49, tensor([0.0008]), fsolve flag:1, 7.82310962677002e-08, 796
50, tensor([0.0009]), fsolve flag:5, 4.842877388000488e-08, 1315
51, tensor([0.0012]), fsolve flag:5, 7.450580596923828e-08, 1308
52, tensor([0.0009]), fsolve flag:5, 9.685754776000977e-08, 1049
53, tensor([0.0007]), fsolve flag:5, 4.470348358154297e-08, 798
54, tensor([0.0007]), fsolve flag:5, 6.472691893577576e-08, 535
55, tensor([0.0007]), fsolve flag:5, 7.450580596923828e-08, 1569
56, tensor([0.0007]), fsolve flag:4, 5.587935447692871e-08, 1566
57, tensor([0.0011]), fsolve flag:1, 4.470348358154297e-08, 1831
58, tensor([0.0009]), fsolve flag:5, 5.960464477539063e-08, 1048
59, tensor([0.0013]), fsolve flag:5, 4.470348358154297e-08, 1572
60, tensor([0.0008]), fsolve flag:5, 8.940696716308594e-08, 1309
61, tensor([0.0008]), fsolve flag:1, 5.21540641784668e-08, 1830
62, tensor([0.0010]), fsolve flag:1, 5.774199962615967e-08, 1574
63, tensor([0.0007]), fsolve flag:5, 5.960464477539063e-08, 2094
64, tensor([0.0006]), fsolve flag:4, 4.7497451305389404e-08, 1825
65, tensor([0.0006]), fsolve flag:5, 4.470348358154297e-08, 1049
66, tensor([0.0009]), fsolve flag:5, 4.470348358154297e-08, 794
67, tensor([0.0009]), fsolve flag:1, 5.774199962615967e-08, 1312
68, tensor([0.0008]), fsolve flag:1, 5.21540641784668e-08, 1835
69, tensor([0.0007]), fsolve flag:5, 4.0046870708465576e-08, 1571
70, tensor([0.0008]), fsolve flag:5, 6.51925802230835e-08, 1049
71, tensor([0.0006]), fsolve flag:1, 5.960464477539063e-08, 1310
72, tensor([0.0007]), fsolve flag:1, 4.470348358154297e-08, 1054
73, tensor([0.0008]), fsolve flag:1, 4.1676685214042664e-08, 1572
