8, [0.005], [0.99, 0.998], 32_8, 0.03125: 5.208079589652992e-05,5.7627245764942064e-05,4.918258450625993e-05,140
8, [0.005], [0.99, 0.998], 32_8, 0.015625: 1.2819538072657341e-06,1.2607443630681683e-06,1.1494420496913755e-06,307
8, [0.005], [0.99, 0.998], 32_8, 0.0078125: 1.991467595811342e-07,6.283653600937783e-08,5.9559637932903505e-08,163
8, [0.005], [0.99, 0.998], 32_8, 0.00390625: 2.986981299613075e-08,5.632088992552404e-09,4.035120296469245e-09,262

4, [0.005], [0.995, 0.998], 64_4, 0.03125: 5.259030511174298e-05,5.7652600536135614e-05,4.9541047328727e-05,96
4, [0.005], [0.995, 0.998], 64_4, 0.015625: 1.3096800960491378e-06,1.2842197979792076e-06,1.1541698658241207e-06,161
4, [0.005], [0.995, 0.998], 64_4, 0.0078125: 1.175882571858651e-07,6.98918470990267e-08,6.489990371454438e-08,186
4, [0.005], [0.995, 0.998], 64_4, 0.00390625: 6.503445113213187e-09,4.332530440400312e-09,3.604642034845229e-09,337

4, [0.005], [0.995, 0.998], 128_4, 0.03125: 5.3010096990325326e-05,5.775785536852511e-05,4.949537207536528e-05,159
4, [0.005], [0.995, 0.998], 128_4, 0.015625: 1.313380643330694e-06,1.2950494112201183e-06,1.15901070183458e-06,158
4, [0.005], [0.995, 0.998], 128_4, 0.0078125: 9.050180044603634e-08,7.781182691578073e-08,6.612434393113782e-08,233
4, [0.005], [0.995, 0.998], 128_4, 0.00390625: 4.638787590522656e-09,4.5146306365239225e-09,3.770736996809136e-09,436
