0, tensor([0.0003]), fsolve flag:1, 8.07340256869793e-08, 1304
1, tensor([0.0002]), fsolve flag:1, 6.434856913983822e-08, 1043
2, tensor([0.0001]), fsolve flag:1, 7.689232006669044e-08, 1046
3, tensor([0.0001]), fsolve flag:1, 1.1210795491933823e-07, 529
4, tensor([0.0001]), fsolve flag:1, 7.939524948596954e-08, 786
5, tensor([5.0451e-05]), fsolve flag:1, 6.781192496418953e-08, 1046
6, tensor([0.0002]), fsolve flag:5, 9.255018085241318e-08, 527
7, tensor([0.0002]), fsolve flag:1, 6.775371730327606e-08, 1569
8, tensor([0.0001]), fsolve flag:1, 8.731149137020111e-08, 787
9, tensor([0.0002]), fsolve flag:1, 6.903428584337234e-08, 786
10, tensor([0.0002]), fsolve flag:1, 9.336508810520172e-08, 1045
11, tensor([0.0002]), fsolve flag:1, 1.0931398719549179e-07, 1047
12, tensor([0.0002]), fsolve flag:1, 6.763730198144913e-08, 1045
13, tensor([1.8768e-05]), fsolve flag:1, 1.0244548320770264e-07, 1045
14, tensor([0.0003]), fsolve flag:1, 1.0291114449501038e-07, 786
15, tensor([8.3578e-05]), fsolve flag:1, 9.231735020875931e-08, 1044
16, tensor([6.7096e-05]), fsolve flag:1, 8.824281394481659e-08, 1046
17, tensor([9.2364e-05]), fsolve flag:1, 9.959330782294273e-08, 786
18, tensor([0.0003]), fsolve flag:1, 8.047209121286869e-08, 529
19, tensor([0.0004]), fsolve flag:1, 6.845220923423767e-08, 530
20, tensor([0.0002]), fsolve flag:1, 8.568167686462402e-08, 1046
21, tensor([0.0004]), fsolve flag:1, 7.927883416414261e-08, 1306
22, tensor([6.6231e-05]), fsolve flag:1, 8.055940270423889e-08, 530
23, tensor([0.0001]), fsolve flag:1, 1.073349267244339e-07, 528
24, tensor([0.0004]), fsolve flag:1, 7.82310962677002e-08, 1043
25, tensor([8.5364e-05]), fsolve flag:1, 8.66129994392395e-08, 1045
26, tensor([0.0001]), fsolve flag:1, 8.870847523212433e-08, 1044
27, tensor([0.0001]), fsolve flag:1, 7.794005796313286e-08, 528
28, tensor([0.0003]), fsolve flag:1, 9.586801752448082e-08, 1046
29, tensor([6.8712e-05]), fsolve flag:1, 7.292692316696048e-08, 1045
30, tensor([0.0001]), fsolve flag:1, 8.757342584431171e-08, 275
31, tensor([4.1375e-05]), fsolve flag:1, 7.453490979969501e-08, 785
32, tensor([0.0001]), fsolve flag:1, 7.986091077327728e-08, 1303
33, tensor([6.9470e-05]), fsolve flag:1, 1.0454095900058746e-07, 1045
34, tensor([0.0001]), fsolve flag:1, 6.51925802230835e-08, 792
35, tensor([0.0002]), fsolve flag:1, 8.731149137020111e-08, 1045
36, tensor([0.0001]), fsolve flag:1, 7.59027898311615e-08, 1307
37, tensor([0.0001]), fsolve flag:5, 1.096632331609726e-07, 527
38, tensor([9.8889e-05]), fsolve flag:1, 7.543712854385376e-08, 1045
39, tensor([0.0001]), fsolve flag:1, 8.614733815193176e-08, 1304
40, tensor([0.0002]), fsolve flag:1, 1.0128132998943329e-07, 1045
41, tensor([0.0001]), fsolve flag:1, 7.450580596923828e-08, 787
42, tensor([0.0003]), fsolve flag:1, 7.869675755500793e-08, 1045
43, tensor([0.0002]), fsolve flag:1, 7.101334631443024e-08, 1041
44, tensor([0.0003]), fsolve flag:1, 8.10832716524601e-08, 1045
45, tensor([0.0002]), fsolve flag:1, 7.706694304943085e-08, 786
46, tensor([0.0002]), fsolve flag:5, 1.35383743327111e-07, 527
47, tensor([0.0001]), fsolve flag:1, 9.860377758741379e-08, 788
48, tensor([4.9697e-05]), fsolve flag:5, 1.7601996660232544e-07, 527
49, tensor([0.0002]), fsolve flag:1, 1.4808028936386108e-07, 785
50, tensor([7.3567e-05]), fsolve flag:1, 1.1146767064929008e-07, 529
51, tensor([0.0001]), fsolve flag:1, 9.284121915698051e-08, 785
52, tensor([9.7985e-05]), fsolve flag:1, 8.195638656616211e-08, 788
53, tensor([0.0002]), fsolve flag:1, 6.635673344135284e-08, 1047
54, tensor([0.0002]), fsolve flag:1, 9.528594091534615e-08, 1305
55, tensor([0.0003]), fsolve flag:1, 9.173527359962463e-08, 786
56, tensor([0.0003]), fsolve flag:5, 1.1990778148174286e-07, 527
57, tensor([0.0002]), fsolve flag:1, 7.767812348902225e-08, 1041
58, tensor([0.0002]), fsolve flag:1, 6.319896783679724e-08, 784
59, tensor([0.0001]), fsolve flag:1, 9.773066267371178e-08, 789
60, tensor([0.0003]), fsolve flag:1, 7.241033017635345e-08, 788
61, tensor([0.0002]), fsolve flag:1, 6.624031811952591e-08, 786
62, tensor([0.0003]), fsolve flag:4, 8.207280188798904e-08, 1303
