0, tensor([0.0003]), fsolve flag:1, 6.263144314289093e-08, 1323
1, tensor([0.0002]), fsolve flag:1, 7.968628779053688e-08, 1063
2, tensor([0.0001]), fsolve flag:1, 7.689232006669044e-08, 1578
3, tensor([0.0001]), fsolve flag:1, 7.750350050628185e-08, 1322
4, tensor([0.0001]), fsolve flag:1, 9.66247171163559e-08, 1322
5, tensor([5.0863e-05]), fsolve flag:1, 6.088521331548691e-08, 1838
6, tensor([0.0002]), fsolve flag:1, 8.646748028695583e-08, 1060
7, tensor([0.0002]), fsolve flag:5, 1.6624107956886292e-07, 538
8, tensor([0.0001]), fsolve flag:1, 8.42846930027008e-08, 1318
9, tensor([0.0002]), fsolve flag:1, 6.239861249923706e-08, 541
10, tensor([0.0002]), fsolve flag:1, 8.114147931337357e-08, 804
11, tensor([0.0002]), fsolve flag:1, 1.4399120118469e-07, 1062
12, tensor([0.0002]), fsolve flag:1, 7.916241884231567e-08, 805
13, tensor([1.8603e-05]), fsolve flag:1, 7.28759914636612e-08, 807
14, tensor([0.0003]), fsolve flag:1, 7.307971827685833e-08, 802
15, tensor([8.3847e-05]), fsolve flag:1, 6.030313670635223e-08, 544
16, tensor([6.7379e-05]), fsolve flag:1, 5.611218512058258e-08, 1060
17, tensor([9.2342e-05]), fsolve flag:1, 8.282950147986412e-08, 1061
18, tensor([0.0003]), fsolve flag:1, 8.754432201385498e-08, 797
19, tensor([0.0004]), fsolve flag:1, 7.171183824539185e-08, 542
20, tensor([0.0002]), fsolve flag:1, 7.764901965856552e-08, 1578
21, tensor([0.0004]), fsolve flag:1, 7.89295881986618e-08, 1062
22, tensor([6.6270e-05]), fsolve flag:1, 8.387723937630653e-08, 805
23, tensor([0.0001]), fsolve flag:1, 7.89295881986618e-08, 803
24, tensor([0.0004]), fsolve flag:1, 8.524511940777302e-08, 801
25, tensor([8.5190e-05]), fsolve flag:1, 8.079223334789276e-08, 1317
26, tensor([0.0001]), fsolve flag:1, 7.28759914636612e-08, 801
27, tensor([0.0001]), fsolve flag:1, 7.753260433673859e-08, 550
28, tensor([0.0003]), fsolve flag:1, 8.838833309710026e-08, 1064
29, tensor([6.8398e-05]), fsolve flag:1, 7.099879439920187e-08, 803
30, tensor([0.0001]), fsolve flag:1, 1.1129304766654968e-07, 1060
31, tensor([4.1298e-05]), fsolve flag:1, 6.990740075707436e-08, 804
32, tensor([0.0001]), fsolve flag:1, 6.007030606269836e-08, 1316
33, tensor([6.9806e-05]), fsolve flag:1, 8.312053978443146e-08, 1068
34, tensor([0.0001]), fsolve flag:1, 6.449408829212189e-08, 1317
35, tensor([0.0002]), fsolve flag:1, 8.731149137020111e-08, 1312
36, tensor([0.0001]), fsolve flag:1, 5.9138983488082886e-08, 1061
37, tensor([0.0001]), fsolve flag:1, 1.487787812948227e-07, 1060
38, tensor([9.9708e-05]), fsolve flag:1, 1.0937219485640526e-07, 1060
39, tensor([0.0001]), fsolve flag:1, 6.798654794692993e-08, 1324
40, tensor([0.0002]), fsolve flag:1, 9.266659617424011e-08, 1322
41, tensor([0.0001]), fsolve flag:1, 7.363269105553627e-08, 1321
42, tensor([0.0003]), fsolve flag:1, 9.4645656645298e-08, 805
43, tensor([0.0002]), fsolve flag:1, 6.51925802230835e-08, 809
44, tensor([0.0003]), fsolve flag:1, 8.777715265750885e-08, 802
45, tensor([0.0002]), fsolve flag:1, 1.0593794286251068e-07, 801
46, tensor([0.0002]), fsolve flag:1, 8.931829142966308e-08, 1062
47, tensor([0.0001]), fsolve flag:1, 1.0686926543712616e-07, 1324
48, tensor([4.9488e-05]), fsolve flag:1, 7.87549652159214e-08, 1580
49, tensor([0.0002]), fsolve flag:1, 9.417999535799026e-08, 1322
50, tensor([7.3632e-05]), fsolve flag:1, 7.281778380274773e-08, 1317
51, tensor([0.0001]), fsolve flag:1, 8.320785127580166e-08, 1059
52, tensor([9.7572e-05]), fsolve flag:1, 5.681067705154419e-08, 1065
53, tensor([0.0002]), fsolve flag:1, 8.288770914077759e-08, 1319
54, tensor([0.0002]), fsolve flag:1, 8.300412446260452e-08, 1314
55, tensor([0.0003]), fsolve flag:1, 6.84813130646944e-08, 1572
56, tensor([0.0003]), fsolve flag:1, 1.071603037416935e-07, 1064
57, tensor([0.0002]), fsolve flag:1, 7.652488420717418e-08, 1320
58, tensor([0.0002]), fsolve flag:1, 7.392372936010361e-08, 802
59, tensor([0.0001]), fsolve flag:1, 7.264316082000732e-08, 1579
60, tensor([0.0003]), fsolve flag:1, 5.8673322200775146e-08, 1063
61, tensor([0.0002]), fsolve flag:1, 8.055940270423889e-08, 801
62, tensor([0.0003]), fsolve flag:1, 6.402842700481415e-08, 806
63, tensor([0.0002]), fsolve flag:1, 8.003553375601768e-08, 1056
64, tensor([0.0004]), fsolve flag:1, 8.443021215498447e-08, 1319
65, tensor([0.0002]), fsolve flag:1, 8.021015673875809e-08, 1319
66, tensor([6.5124e-05]), fsolve flag:1, 9.953510016202927e-08, 1060
67, tensor([0.0003]), fsolve flag:1, 8.41100700199604e-08, 1317
68, tensor([0.0002]), fsolve flag:1, 6.332993507385254e-08, 1065
69, tensor([0.0003]), fsolve flag:1, 8.221832104027271e-08, 805
70, tensor([0.0001]), fsolve flag:1, 9.224459063261747e-08, 1061
71, tensor([0.0003]), fsolve flag:1, 9.278301149606705e-08, 1060
72, tensor([7.5875e-05]), fsolve flag:1, 8.917413651943207e-08, 1320
73, tensor([0.0001]), fsolve flag:1, 5.430774763226509e-08, 543
74, tensor([0.0004]), fsolve flag:1, 7.89295881986618e-08, 1062
75, tensor([0.0003]), fsolve flag:1, 1.1172960512340069e-07, 1317
76, tensor([0.0002]), fsolve flag:1, 8.882489055395126e-08, 1320
77, tensor([0.0002]), fsolve flag:1, 6.28642737865448e-08, 805
78, tensor([0.0001]), fsolve flag:1, 6.202026270329952e-08, 1319
79, tensor([4.7125e-05]), fsolve flag:1, 5.876063369214535e-08, 1320
80, tensor([0.0003]), fsolve flag:1, 1.0547228157520294e-07, 1573
81, tensor([0.0005]), fsolve flag:1, 8.527786121703684e-08, 547
82, tensor([0.0003]), fsolve flag:1, 7.28759914636612e-08, 1319
83, tensor([0.0002]), fsolve flag:1, 1.1507654562592506e-07, 1578
84, tensor([0.0001]), fsolve flag:1, 6.339541869238019e-08, 1064
85, tensor([0.0001]), fsolve flag:1, 7.799826562404633e-08, 1578
86, tensor([0.0002]), fsolve flag:1, 6.868503987789154e-08, 803
87, tensor([0.0002]), fsolve flag:1, 9.67993400990963e-08, 1579
88, tensor([0.0002]), fsolve flag:1, 6.845220923423767e-08, 1318
89, tensor([0.0003]), fsolve flag:1, 7.275957614183426e-08, 1061
90, tensor([0.0002]), fsolve flag:1, 9.103678166866302e-08, 799
91, tensor([0.0003]), fsolve flag:1, 7.986091077327728e-08, 800
92, tensor([2.1689e-05]), fsolve flag:1, 1.1100200936198235e-07, 1063
93, tensor([0.0002]), fsolve flag:1, 7.182825356721878e-08, 803
94, tensor([4.1687e-05]), fsolve flag:1, 7.106245902832597e-08, 1058
95, tensor([0.0002]), fsolve flag:1, 8.16071406006813e-08, 806
96, tensor([0.0002]), fsolve flag:1, 7.450580596923828e-08, 1067
97, tensor([6.3481e-05]), fsolve flag:1, 9.208451956510544e-08, 1058
98, tensor([0.0004]), fsolve flag:1, 8.253846317529678e-08, 547
99, tensor([8.5676e-05]), fsolve flag:1, 8.114147931337357e-08, 803
mean err: 0.00018407535389997065
