0, tensor([0.0008]), fsolve flag:5, 7.450580596923828e-08, 1053
1, tensor([0.0006]), fsolve flag:1, 8.568167686462402e-08, 1571
2, tensor([0.0005]), fsolve flag:1, 8.195638656616211e-08, 1831
3, tensor([0.0003]), fsolve flag:5, 1.341104507446289e-07, 1312
4, tensor([0.0005]), fsolve flag:5, 1.2665987014770508e-07, 525
5, tensor([0.0003]), fsolve flag:1, 9.685754776000977e-08, 1574
6, tensor([0.0004]), fsolve flag:1, 8.940696716308594e-08, 2349
7, tensor([0.0004]), fsolve flag:1, 8.940696716308594e-08, 1830
8, tensor([0.0007]), fsolve flag:5, 6.705522537231445e-08, 1306
9, tensor([0.0008]), fsolve flag:5, 1.1920928955078125e-07, 533
10, tensor([0.0003]), fsolve flag:5, 7.450580596923828e-08, 1314
11, tensor([0.0005]), fsolve flag:1, 9.313225746154785e-08, 1053
12, tensor([0.0005]), fsolve flag:1, 9.872019290924072e-08, 1053
13, tensor([0.0007]), fsolve flag:1, 8.568167686462402e-08, 1571
14, tensor([0.0008]), fsolve flag:5, 1.043081283569336e-07, 1050
15, tensor([0.0008]), fsolve flag:1, 8.940696716308594e-08, 1572
16, tensor([0.0007]), fsolve flag:1, 7.450580596923828e-08, 1313
17, tensor([0.0003]), fsolve flag:5, 9.685754776000977e-08, 1049
18, tensor([0.0005]), fsolve flag:1, 1.043081283569336e-07, 1571
19, tensor([0.0004]), fsolve flag:1, 6.705522537231445e-08, 1569
20, tensor([0.0005]), fsolve flag:1, 8.195638656616211e-08, 1309
21, tensor([0.0007]), fsolve flag:4, 6.705522537231445e-08, 2340
22, tensor([0.0005]), fsolve flag:1, 7.450580596923828e-08, 1830
23, tensor([0.0006]), fsolve flag:1, 8.381903171539307e-08, 2088
24, tensor([0.0009]), fsolve flag:5, 7.450580596923828e-08, 1310
25, tensor([0.0006]), fsolve flag:5, 8.195638656616211e-08, 1052
26, tensor([0.0004]), fsolve flag:5, 8.195638656616211e-08, 1574
27, tensor([0.0011]), fsolve flag:1, 1.043081283569336e-07, 1573
28, tensor([0.0006]), fsolve flag:5, 7.450580596923828e-08, 1573
29, tensor([0.0004]), fsolve flag:1, 9.895302355289459e-08, 1057
30, tensor([0.0007]), fsolve flag:1, 1.0058283805847168e-07, 1830
31, tensor([0.0005]), fsolve flag:4, 8.381903171539307e-08, 1572
32, tensor([0.0010]), fsolve flag:4, 8.940696716308594e-08, 1829
33, tensor([0.0005]), fsolve flag:1, 5.960464477539063e-08, 1309
34, tensor([0.0005]), fsolve flag:1, 8.195638656616211e-08, 797
35, tensor([0.0003]), fsolve flag:5, 8.940696716308594e-08, 1832
36, tensor([0.0006]), fsolve flag:1, 8.940696716308594e-08, 2089
37, tensor([0.0006]), fsolve flag:4, 8.381903171539307e-08, 1824
38, tensor([0.0007]), fsolve flag:5, 8.568167686462402e-08, 1312
39, tensor([0.0006]), fsolve flag:5, 8.195638656616211e-08, 1049
40, tensor([0.0005]), fsolve flag:5, 7.078051567077637e-08, 1310
41, tensor([0.0004]), fsolve flag:1, 9.872019290924072e-08, 1571
42, tensor([0.0006]), fsolve flag:1, 1.0058283805847168e-07, 1055
43, tensor([0.0009]), fsolve flag:4, 8.195638656616211e-08, 1827
44, tensor([0.0010]), fsolve flag:5, 7.450580596923828e-08, 1047
45, tensor([0.0005]), fsolve flag:1, 8.195638656616211e-08, 1310
46, tensor([0.0007]), fsolve flag:5, 9.12696123123169e-08, 1311
47, tensor([0.0005]), fsolve flag:1, 6.408663466572762e-08, 1830
48, tensor([0.0009]), fsolve flag:5, 9.313225746154785e-08, 797
49, tensor([0.0009]), fsolve flag:1, 8.940696716308594e-08, 1312
50, tensor([0.0004]), fsolve flag:1, 6.705522537231445e-08, 1313
51, tensor([0.0004]), fsolve flag:5, 1.341104507446289e-07, 525
52, tensor([0.0004]), fsolve flag:5, 7.078051567077637e-08, 1051
53, tensor([0.0008]), fsolve flag:5, 8.940696716308594e-08, 1050
54, tensor([0.0009]), fsolve flag:4, 9.685754776000977e-08, 1828
55, tensor([0.0006]), fsolve flag:5, 9.12696123123169e-08, 1309
56, tensor([0.0003]), fsolve flag:1, 7.450580596923828e-08, 2088
57, tensor([0.0004]), fsolve flag:1, 7.450580596923828e-08, 2350
58, tensor([0.0003]), fsolve flag:1, 5.960464477539063e-08, 2089
59, tensor([0.0006]), fsolve flag:1, 8.568167686462402e-08, 1831
60, tensor([0.0006]), fsolve flag:5, 8.381903171539307e-08, 1051
61, tensor([0.0005]), fsolve flag:5, 8.381903171539307e-08, 1309
62, tensor([0.0007]), fsolve flag:5, 7.636845111846924e-08, 1574
63, tensor([0.0002]), fsolve flag:1, 1.1548399925231934e-07, 1317
64, tensor([0.0005]), fsolve flag:5, 7.450580596923828e-08, 1568
65, tensor([0.0004]), fsolve flag:1, 9.313225746154785e-08, 1572
66, tensor([0.0005]), fsolve flag:5, 8.940696716308594e-08, 1309
67, tensor([0.0010]), fsolve flag:1, 1.043081283569336e-07, 1829
68, tensor([0.0005]), fsolve flag:5, 1.0058283805847168e-07, 1310
69, tensor([0.0003]), fsolve flag:5, 7.078051567077637e-08, 1052
70, tensor([0.0006]), fsolve flag:1, 8.195638656616211e-08, 1313
71, tensor([0.0004]), fsolve flag:4, 8.195638656616211e-08, 2082
72, tensor([0.0007]), fsolve flag:5, 7.450580596923828e-08, 1309
73, tensor([0.0010]), fsolve flag:5, 8.940696716308594e-08, 1570
74, tensor([0.0004]), fsolve flag:5, 1.1920928955078125e-07, 1055
75, tensor([0.0003]), fsolve flag:1, 7.450580596923828e-08, 1572
76, tensor([0.0005]), fsolve flag:5, 7.171183824539185e-08, 1568
77, tensor([0.0005]), fsolve flag:5, 1.1175870895385742e-07, 1569
78, tensor([0.0006]), fsolve flag:5, 8.195638656616211e-08, 1572
79, tensor([0.0011]), fsolve flag:4, 1.4156103134155273e-07, 1308
80, tensor([0.0005]), fsolve flag:5, 1.1920928955078125e-07, 1569
81, tensor([0.0008]), fsolve flag:5, 7.636845111846924e-08, 1309
82, tensor([0.0008]), fsolve flag:5, 7.450580596923828e-08, 1569
83, tensor([0.0007]), fsolve flag:1, 9.499490261077881e-08, 1573
84, tensor([0.0004]), fsolve flag:4, 8.940696716308594e-08, 2342
85, tensor([0.0006]), fsolve flag:1, 5.960464477539063e-08, 1312
86, tensor([0.0006]), fsolve flag:5, 1.043081283569336e-07, 2090
87, tensor([0.0004]), fsolve flag:1, 7.450580596923828e-08, 1313
88, tensor([0.0003]), fsolve flag:1, 8.568167686462402e-08, 1569
89, tensor([0.0007]), fsolve flag:1, 1.2665987014770508e-07, 1571
90, tensor([0.0007]), fsolve flag:1, 8.195638656616211e-08, 1572
91, tensor([0.0006]), fsolve flag:1, 1.043081283569336e-07, 1570
92, tensor([0.0006]), fsolve flag:4, 8.381903171539307e-08, 1828
93, tensor([0.0004]), fsolve flag:1, 8.381903171539307e-08, 1829
94, tensor([0.0008]), fsolve flag:5, 7.450580596923828e-08, 1050
95, tensor([0.0008]), fsolve flag:5, 1.04482751339674e-07, 790
96, tensor([0.0005]), fsolve flag:5, 7.82310962677002e-08, 793
97, tensor([0.0004]), fsolve flag:5, 8.940696716308594e-08, 1060
98, tensor([0.0005]), fsolve flag:5, 8.940696716308594e-08, 795
99, tensor([0.0009]), fsolve flag:1, 9.685754776000977e-08, 1313
mean err: 0.0005806388799101114
