0, tensor([9.0210e-05]), fsolve flag:5, 1.1920928955078125e-07, 1571
1, tensor([0.0002]), fsolve flag:5, 1.43158104037866e-07, 1055
2, tensor([7.7926e-05]), fsolve flag:5, 1.4528632164001465e-07, 1311
3, tensor([0.0002]), fsolve flag:5, 1.6391277313232422e-07, 1048
4, tensor([0.0001]), fsolve flag:1, 1.0058283805847168e-07, 1573
5, tensor([0.0002]), fsolve flag:1, 1.6391277313232422e-07, 795
6, tensor([9.6181e-05]), fsolve flag:1, 1.341104507446289e-07, 1831
7, tensor([0.0001]), fsolve flag:5, 1.0058283805847168e-07, 1829
8, tensor([0.0001]), fsolve flag:5, 8.940696716308594e-08, 1315
9, tensor([0.0002]), fsolve flag:1, 9.685754776000977e-08, 2090
10, tensor([0.0001]), fsolve flag:1, 1.2665987014770508e-07, 1570
11, tensor([0.0002]), fsolve flag:1, 1.3614771887660027e-07, 2093
12, tensor([0.0002]), fsolve flag:1, 1.1175870895385742e-07, 1312
13, tensor([0.0001]), fsolve flag:5, 1.2665987014770508e-07, 1312
14, tensor([0.0003]), fsolve flag:5, 1.043081283569336e-07, 2090
15, tensor([0.0001]), fsolve flag:5, 1.043081283569336e-07, 1569
16, tensor([0.0001]), fsolve flag:5, 1.1455267667770386e-07, 1309
17, tensor([0.0002]), fsolve flag:5, 1.1920928955078125e-07, 1569
18, tensor([0.0001]), fsolve flag:1, 1.0873191058635712e-07, 1315
19, tensor([0.0001]), fsolve flag:4, 1.043081283569336e-07, 1822
20, tensor([0.0001]), fsolve flag:1, 1.6391277313232422e-07, 1830
21, tensor([0.0001]), fsolve flag:1, 9.546056389808655e-08, 1830
22, tensor([0.0001]), fsolve flag:1, 1.2479722499847412e-07, 1833
23, tensor([0.0001]), fsolve flag:1, 1.341104507446289e-07, 1570
24, tensor([0.0001]), fsolve flag:1, 1.444714143872261e-07, 1829
25, tensor([0.0001]), fsolve flag:5, 9.872019290924072e-08, 1826
26, tensor([0.0001]), fsolve flag:1, 1.043081283569336e-07, 1832
27, tensor([0.0002]), fsolve flag:1, 1.4901161193847656e-07, 1571
28, tensor([0.0001]), fsolve flag:5, 1.2060627341270447e-07, 1307
29, tensor([7.7934e-05]), fsolve flag:1, 1.1548399925231934e-07, 1831
30, tensor([0.0001]), fsolve flag:5, 1.043081283569336e-07, 1568
31, tensor([0.0001]), fsolve flag:5, 1.6391277313232422e-07, 1050
32, tensor([0.0001]), fsolve flag:4, 1.548323780298233e-07, 1305
33, tensor([0.0001]), fsolve flag:1, 9.685754776000977e-08, 1311
34, tensor([0.0001]), fsolve flag:4, 1.1175870895385742e-07, 2084
35, tensor([0.0002]), fsolve flag:5, 9.499490261077881e-08, 1312
36, tensor([0.0001]), fsolve flag:5, 8.754432201385498e-08, 1050
37, tensor([0.0001]), fsolve flag:1, 1.4156103134155273e-07, 1571
