4, [0.005], [0.995, 0.998], 128_4_128_4, 0.03125: 3.380122143435639e-05,3.947010389602241e-05,3.1027561042705694e-05,331
4, [0.005], [0.995, 0.998], 128_4_128_4, 0.015625: 2.1241019791589795e-07,1.8392606722970036e-07,1.291108685517496e-07,384
4, [0.005], [0.995, 0.998], 128_4_128_4, 0.0078125: 1.0587497368099391e-08,5.826499122687179e-09,5.677938080659688e-09,362
4, [0.005], [0.995, 0.998], 128_4_128_4, 0.00390625: 3.012223790548184e-09,1.5090177215268214e-09,1.173456370925039e-09,448

4, [0.001], [0.995, 0.998], 128_4_128_4, 0.00390625: 2.7358616219648454e-09,1.4468484359436563e-09,1.1566803344584568e-09,56
4, [0.0001], [0.995, 0.998], 128_4_128_4, 0.00390625: 1.521366466300783e-09,1.1088724341516292e-09,7.65078656066593e-10,1001

4, [0.005], [0.995, 0.998], 128_4_256_4, 0.00390625: 2.147476799687598e-09,1.5909254970809055e-09,8.545821240374871e-10,2226
4, [0.005], [0.995, 0.998], 128_4_64_4, 0.00390625: 9.114205720582625e-09,3.5192070083847115e-09,1.0258474319484463e-09,258
6, [0.005], [0.995, 0.998], 128_6_128_4, 0.00390625: 1.5234740889153764e-10,1.937271220470422e-10,1.009705748658183e-10,1503
4, [0.001], [0.995, 0.998], 128_4_128_5, 0.00390625: 9.512396318518873e-08,3.430748856429255e-08,2.4021608576557757e-08,773

6, [0.001], [0.992, 0.998], 128_6_256_6, 0.03125: 7.337572376490324e-05,8.429543477069334e-05,7.120648399839458e-05,2997
6, [0.001], [0.992, 0.998], 128_6_256_6, 0.015625: 7.110493359762621e-06,6.876465108457668e-06,4.6321358416877365e-06,2997
6, [0.005], [0.995, 0.998], 128_6_256_6, 0.03125: 3.494078089625744e-05,3.973060946685598e-05,3.156224249917358e-05,122
6, [0.005], [0.995, 0.998], 128_6_256_6, 0.015625: 1.3187431478867236e-07,1.1532202851224842e-07,6.658162312155004e-08,2985
6, [0.005], [0.995, 0.998], 128_6_256_6, 0.0078125: 2.4010962699195613e-09,2.806620563140437e-09,1.9749905747200757e-09,2988
6, [0.005], [0.995, 0.998], 128_6_256_6, 0.00390625: 6.783691517416413e-10,1.0475200968830697e-09,4.0267771099438316e-10,2105
