0, tensor([0.0011]), fsolve flag:5, 1.4901161193847656e-08, 408
1, tensor([0.0004]), fsolve flag:1, 2.2351741790771484e-08, 672
2, tensor([0.0009]), fsolve flag:1, 2.9802322387695312e-08, 542
3, tensor([0.0005]), fsolve flag:5, 2.9802322387695312e-08, 408
4, tensor([0.0004]), fsolve flag:1, 1.4901161193847656e-08, 283
5, tensor([0.0005]), fsolve flag:5, 2.9802322387695312e-08, 271
6, tensor([0.0005]), fsolve flag:1, 1.5832483768463135e-08, 542
7, tensor([0.0006]), fsolve flag:1, 9.313225746154785e-09, 803
8, tensor([0.0004]), fsolve flag:4, 2.2351741790771484e-08, 926
9, tensor([0.0008]), fsolve flag:5, 2.2351741790771484e-08, 541
10, tensor([0.0005]), fsolve flag:5, 1.862645149230957e-08, 410
11, tensor([0.0009]), fsolve flag:5, 1.862645149230957e-08, 409
12, tensor([0.0006]), fsolve flag:5, 2.9802322387695312e-08, 540
13, tensor([0.0007]), fsolve flag:1, 1.4901161193847656e-08, 802
14, tensor([0.0005]), fsolve flag:1, 2.2351741790771484e-08, 542
15, tensor([0.0011]), fsolve flag:1, 1.4901161193847656e-08, 539
16, tensor([0.0009]), fsolve flag:5, 1.4901161193847656e-08, 538
17, tensor([0.0014]), fsolve flag:1, 2.9802322387695312e-08, 805
18, tensor([0.0008]), fsolve flag:5, 1.4901161193847656e-08, 668
19, tensor([0.0004]), fsolve flag:5, 1.4901161193847656e-08, 807
20, tensor([0.0006]), fsolve flag:5, 2.2351741790771484e-08, 541
21, tensor([0.0005]), fsolve flag:5, 2.2351741790771484e-08, 538
22, tensor([0.0009]), fsolve flag:5, 2.9802322387695312e-08, 540
23, tensor([0.0007]), fsolve flag:5, 1.4901161193847656e-08, 409
24, tensor([0.0004]), fsolve flag:1, 2.2351741790771484e-08, 672
25, tensor([0.0006]), fsolve flag:1, 1.4901161193847656e-08, 802
26, tensor([0.0006]), fsolve flag:5, 1.4901161193847656e-08, 540
27, tensor([0.0008]), fsolve flag:1, 1.4901161193847656e-08, 806
28, tensor([0.0007]), fsolve flag:5, 2.9802322387695312e-08, 406
29, tensor([0.0005]), fsolve flag:1, 1.4901161193847656e-08, 280
30, tensor([0.0007]), fsolve flag:1, 1.862645149230957e-08, 543
31, tensor([0.0006]), fsolve flag:1, 2.0489096641540527e-08, 671
32, tensor([0.0006]), fsolve flag:5, 2.2351741790771484e-08, 537
33, tensor([0.0007]), fsolve flag:5, 1.4901161193847656e-08, 672
34, tensor([0.0005]), fsolve flag:5, 1.862645149230957e-08, 543
35, tensor([0.0008]), fsolve flag:1, 1.4901161193847656e-08, 936
36, tensor([0.0011]), fsolve flag:1, 2.2351741790771484e-08, 802
37, tensor([0.0006]), fsolve flag:1, 2.2351741790771484e-08, 544
38, tensor([0.0007]), fsolve flag:1, 1.4901161193847656e-08, 801
39, tensor([0.0005]), fsolve flag:1, 1.4901161193847656e-08, 541
40, tensor([0.0006]), fsolve flag:1, 1.4901161193847656e-08, 540
41, tensor([0.0009]), fsolve flag:1, 2.9802322387695312e-08, 412
42, tensor([0.0013]), fsolve flag:5, 1.4901161193847656e-08, 674
43, tensor([0.0008]), fsolve flag:5, 1.862645149230957e-08, 670
44, tensor([0.0006]), fsolve flag:1, 1.4901161193847656e-08, 541
45, tensor([0.0010]), fsolve flag:5, 2.2351741790771484e-08, 670
46, tensor([0.0008]), fsolve flag:1, 2.2351741790771484e-08, 541
47, tensor([0.0009]), fsolve flag:5, 2.2351741790771484e-08, 413
48, tensor([0.0006]), fsolve flag:5, 1.6763806343078613e-08, 406
49, tensor([0.0008]), fsolve flag:1, 1.4901161193847656e-08, 538
50, tensor([0.0006]), fsolve flag:5, 1.8510036170482635e-08, 407
51, tensor([0.0005]), fsolve flag:1, 2.2351741790771484e-08, 693
52, tensor([0.0005]), fsolve flag:1, 1.4901161193847656e-08, 410
53, tensor([0.0008]), fsolve flag:1, 1.4901161193847656e-08, 674
54, tensor([0.0008]), fsolve flag:5, 2.2351741790771484e-08, 407
55, tensor([0.0006]), fsolve flag:1, 1.4901161193847656e-08, 674
56, tensor([0.0005]), fsolve flag:5, 1.4901161193847656e-08, 670
57, tensor([0.0009]), fsolve flag:5, 1.862645149230957e-08, 669
58, tensor([0.0005]), fsolve flag:1, 1.4901161193847656e-08, 674
59, tensor([0.0012]), fsolve flag:5, 1.4901161193847656e-08, 539
60, tensor([0.0006]), fsolve flag:1, 2.9802322387695312e-08, 672
61, tensor([0.0009]), fsolve flag:1, 2.2351741790771484e-08, 933
62, tensor([0.0007]), fsolve flag:5, 2.9802322387695312e-08, 412
63, tensor([0.0007]), fsolve flag:5, 2.2351741790771484e-08, 542
64, tensor([0.0006]), fsolve flag:1, 1.862645149230957e-08, 544
65, tensor([0.0006]), fsolve flag:5, 1.5832483768463135e-08, 411
66, tensor([0.0005]), fsolve flag:1, 2.2351741790771484e-08, 540
67, tensor([0.0013]), fsolve flag:1, 1.4901161193847656e-08, 801
68, tensor([0.0008]), fsolve flag:5, 1.862645149230957e-08, 540
69, tensor([0.0003]), fsolve flag:1, 1.4901161193847656e-08, 801
70, tensor([0.0006]), fsolve flag:5, 1.862645149230957e-08, 541
71, tensor([0.0008]), fsolve flag:5, 1.5832483768463135e-08, 671
72, tensor([0.0007]), fsolve flag:1, 1.4901161193847656e-08, 541
73, tensor([0.0010]), fsolve flag:5, 1.1175870895385742e-08, 539
74, tensor([0.0006]), fsolve flag:5, 1.4901161193847656e-08, 675
75, tensor([0.0005]), fsolve flag:1, 1.4901161193847656e-08, 674
76, tensor([0.0003]), fsolve flag:1, 1.4901161193847656e-08, 672
77, tensor([0.0013]), fsolve flag:5, 1.4901161193847656e-08, 801
78, tensor([0.0007]), fsolve flag:5, 2.9802322387695312e-08, 541
79, tensor([0.0011]), fsolve flag:5, 1.4901161193847656e-08, 672
80, tensor([0.0004]), fsolve flag:5, 1.4901161193847656e-08, 539
81, tensor([0.0005]), fsolve flag:5, 1.4901161193847656e-08, 805
82, tensor([0.0010]), fsolve flag:1, 1.4901161193847656e-08, 408
83, tensor([0.0009]), fsolve flag:1, 1.4901161193847656e-08, 541
84, tensor([0.0006]), fsolve flag:5, 2.60770320892334e-08, 405
85, tensor([0.0005]), fsolve flag:5, 1.4901161193847656e-08, 408
86, tensor([0.0005]), fsolve flag:1, 2.2351741790771484e-08, 673
87, tensor([0.0005]), fsolve flag:1, 2.2351741790771484e-08, 541
88, tensor([0.0004]), fsolve flag:4, 1.4901161193847656e-08, 928
89, tensor([0.0008]), fsolve flag:5, 2.2817403078079224e-08, 407
90, tensor([0.0004]), fsolve flag:1, 1.862645149230957e-08, 542
91, tensor([0.0005]), fsolve flag:1, 1.4901161193847656e-08, 804
92, tensor([0.0007]), fsolve flag:1, 1.4901161193847656e-08, 672
93, tensor([0.0008]), fsolve flag:1, 1.4901161193847656e-08, 415
94, tensor([0.0012]), fsolve flag:1, 2.9802322387695312e-08, 411
95, tensor([0.0009]), fsolve flag:1, 2.0489096641540527e-08, 409
96, tensor([0.0006]), fsolve flag:5, 1.1175870895385742e-08, 801
97, tensor([0.0010]), fsolve flag:1, 1.4901161193847656e-08, 672
98, tensor([0.0009]), fsolve flag:1, 2.2351741790771484e-08, 541
99, tensor([0.0007]), fsolve flag:1, 1.4901161193847656e-08, 280
mean err: 0.000706793216522783
