300, 128_4, [0.005], [0.995, 0.998], 0.03125 : 3.473049661128876e-05,5.900220702008328e-06,4.277452466737226e-06,49
300, 128_4, [0.005], [0.995, 0.998], 0.015625 : 1.4798454761560442e-07,3.5141264297182484e-08,1.3151310208187565e-08,1578
300, 128_4, [0.005], [0.995, 0.998], 0.0078125 : 1.3187642586627941e-08,2.777464958679304e-09,1.3805163796356314e-09,68
300, 128_4, [0.005], [0.995, 0.998], 0.00390625 : 1.778158661574324e-10,4.4206186797274993e-11,2.3476116684622047e-11,223
300, 128_4, [0.001], [0.995, 0.998], 0.00390625 : 1.2477983953311977e-09,3.718065825638745e-10,1.6554932839242421e-10,102

300, 256_4, [0.005], [0.995, 0.998], 0.03125 : 3.451321363296589e-05,5.934513328103292e-06,4.245486520511712e-06,119
300, 256_4, [0.005], [0.995, 0.998], 0.015625 : 1.3007051340072087e-07,2.9730943003811488e-08,1.0244067721401655e-08,2201
300, 256_4, [0.005], [0.995, 0.998], 0.0078125 : 8.962844592237878e-09,2.0254372544687183e-09,9.52308983598147e-10,191
300, 256_4, [0.005], [0.995, 0.998], 0.00390625 : 1.213910415731951e-10,4.054839231239429e-11,1.4392320946523777e-11,81

300, 256_4, [0.001], [0.995, 0.998], 0.00390625 : 2.659438093576286e-11,1.4315337818631103e-11,2.780576604121043e-12,1422
300, 128_4, [0.001], [0.995, 0.998], 0.00390625 : 9.767919080586014e-10,3.1355719737882944e-10,1.4806964749269136e-10,65
300, 128_4, [1e-05], [0.995, 0.998], 0.00390625 : 5.4634845435165227e-11,2.4364693697201353e-11,6.650074009530451e-12,121
300, 256_4, [1e-05], [0.995, 0.998], 0.00390625 : 2.3861055851644208e-11,1.3118478884871214e-11,2.4555223834725567e-12,2978
300, 256_4, [0.01], [0.995, 0.998], 0.00390625 : 4.222438232372817e-09,6.436802772401866e-10,5.311625448293467e-10,79

300, 256_5, [0.005], [0.995, 0.998], 0.00390625 : 1.1332117031443282e-10,5.136324943716627e-11,1.4536818592657862e-11,125
300, 256_5, [0.001], [0.995, 0.998], 0.00390625 : 2.9464788018646494e-10,1.0483852776640342e-10,3.77734109022187e-11,27
300, 256_5, [0.001], [0.99, 0.998], 0.00390625 : 1.572117987055755e-10,7.199107796691835e-11,2.1664404757151947e-11,2998

300, 128_5, [0.001], [0.995, 0.998], 0.00390625 : 6.977756374356954e-10,1.444469776430342e-10,9.468047413765821e-11,57
300, 128_5, [0.001], [0.99, 0.998], 0.00390625 : 5.873665394272876e-11,2.93516106655408e-11,6.937266041868612e-12,2999
300, 128_6, [0.001], [0.992, 0.998], 0.00390625 : 9.94173527176111e-11,4.585523077777326e-11,1.3148351784763519e-11,2986

300, 256_6, [0.001], [0.992, 0.998], 0.03125 : 3.4595643762231867e-05,5.868455395658457e-06,4.250387591268063e-06,44
300, 256_6, [0.001], [0.992, 0.998], 0.015625 : 2.3319597911359865e-07,5.027159291643269e-08,2.3813940263050656e-08,824
300, 256_6, [0.001], [0.992, 0.998], 0.0078125 : 3.88555835823797e-09,9.478596302253342e-10,4.202404438059748e-10,2994
300, 256_6, [0.001], [0.992, 0.998], 0.00390625 : 8.467338423080852e-10,1.9753345748156115e-10,9.302782571354257e-11,11
300, 256_6, [0.0005], [0.992, 0.998], 0.00390625 : 7.029009928065049e-11,3.567873832049741e-11,8.378585714656626e-12,2997
300, 256_6, [0.0001], [0.992, 0.998], 0.00390625 : 1.5271042916954317e-10,7.047201643897321e-11,2.0715346798805386e-11,2994
