4, [0.005], [0.995, 0.998], 128_4_256_4, 0.03125: 0.0006827470765571401,0.0006803781968174558,0.0008940264040773564,165
4, [0.005], [0.995, 0.998], 128_4_256_4, 0.015625: 1.0003658321996531e-05,1.044463638502818e-05,9.578984660597948e-06,432
4, [0.005], [0.995, 0.998], 128_4_256_4, 0.0078125: 1.5396446390294057e-06,1.4676227299279946e-06,1.4343498592344366e-06,2994
4, [0.005], [0.995, 0.998], 128_4_256_4, 0.00390625: 4.341375673414436e-07,3.8869039369348426e-07,3.749308364777482e-07,923

4, [0.005], [0.995, 0.998], 128_4_128_4, 0.03125: 0.0006698109826656304,0.0006768308263836485,0.0008862145922400735,167
4, [0.005], [0.995, 0.998], 128_4_128_4, 0.015625: 1.3564458093008934e-05,1.3905886130837295e-05,1.3111822593670626e-05,466
4, [0.005], [0.995, 0.998], 128_4_128_4, 0.0078125: 1.788806123298037e-06,1.7302959810855775e-06,1.735293465240519e-06,1695
4, [0.005], [0.995, 0.998], 128_4_128_4, 0.00390625: 6.434014231635767e-07,5.221458383861219e-07,4.7052803663138285e-07,332

4, [0.005], [0.994, 0.998], 128_4_256_4, 0.03125: 0.000676867359816426,0.0006799682974815369,0.0008917526042822635,218
4, [0.005], [0.994, 0.998], 128_4_256_4, 0.015625: 8.965766964814602e-06,9.496156126260758e-06,8.65104035116159e-06,2452
4, [0.005], [0.994, 0.998], 128_4_256_4, 0.0078125: 1.9265416027732594e-06,1.76910029421019e-06,1.7176137139746384e-06,1213
4, [0.005], [0.994, 0.998], 128_4_256_4, 0.00390625: 5.175203896380101e-07,5.008777284610597e-07,4.456663261446739e-07,2980
