0, tensor([0.0024]), fsolve flag:5, 2.87545844912529e-06, 405
1, tensor([0.0017]), fsolve flag:1, 2.013053745031357e-06, 669
2, tensor([0.0013]), fsolve flag:5, 1.9138678908348083e-07, 668
3, tensor([0.0080]), fsolve flag:5, 9.57399606704712e-07, 405
4, tensor([0.0014]), fsolve flag:1, 4.330322553869337e-07, 933
5, tensor([0.0039]), fsolve flag:1, 2.7740607038140297e-06, 409
6, tensor([0.0096]), fsolve flag:5, 7.050111889839172e-07, 558
7, tensor([0.0018]), fsolve flag:4, 8.240749593824148e-07, 663
8, tensor([0.0038]), fsolve flag:1, 2.2142194211483e-06, 406
9, tensor([0.0022]), fsolve flag:1, 2.3925676941871643e-06, 277
10, tensor([0.0021]), fsolve flag:1, 3.3490359783172607e-06, 406
11, tensor([0.0024]), fsolve flag:1, 3.2028183341026306e-06, 277
12, tensor([0.0016]), fsolve flag:5, 1.3338466260393034e-06, 404
13, tensor([0.0021]), fsolve flag:1, 2.918299287557602e-06, 932
14, tensor([0.0022]), fsolve flag:1, 3.7462450563907623e-07, 538
15, tensor([0.0030]), fsolve flag:1, 2.3506581783294678e-06, 534
16, tensor([0.0022]), fsolve flag:1, 4.153873305767775e-06, 536
17, tensor([0.0012]), fsolve flag:5, 2.996530383825302e-07, 538
18, tensor([0.0025]), fsolve flag:5, 4.577450454235077e-06, 405
19, tensor([0.0019]), fsolve flag:5, 2.8929789550602436e-06, 405
20, tensor([0.0017]), fsolve flag:1, 2.0285369828343391e-07, 539
21, tensor([0.0015]), fsolve flag:1, 2.996530383825302e-07, 670
22, tensor([0.0027]), fsolve flag:5, 3.4137628972530365e-06, 404
23, tensor([0.0019]), fsolve flag:1, 3.51807102560997e-06, 536
24, tensor([0.0018]), fsolve flag:1, 8.923234418034554e-07, 539
25, tensor([0.0030]), fsolve flag:1, 2.457760274410248e-06, 276
26, tensor([0.0017]), fsolve flag:5, 2.5257468223571777e-06, 534
27, tensor([0.0078]), fsolve flag:5, 6.854534149169922e-07, 404
28, tensor([0.0018]), fsolve flag:5, 1.237611286342144e-06, 403
29, tensor([0.0016]), fsolve flag:1, 1.0076910257339478e-06, 668
30, tensor([0.0061]), fsolve flag:1, 7.030030246824026e-07, 539
31, tensor([0.0061]), fsolve flag:5, 6.724148988723755e-07, 404
32, tensor([0.0020]), fsolve flag:1, 2.504384610801935e-07, 539
33, tensor([0.0090]), fsolve flag:5, 9.746290743350983e-07, 269
34, tensor([0.0015]), fsolve flag:1, 2.0416919142007828e-06, 537
35, tensor([0.0017]), fsolve flag:1, 2.923188731074333e-07, 540
36, tensor([0.0032]), fsolve flag:5, 3.7783756852149963e-06, 406
37, tensor([0.0022]), fsolve flag:5, 2.7095084078609943e-06, 402
38, tensor([0.0017]), fsolve flag:1, 2.1944288164377213e-07, 801
39, tensor([0.0020]), fsolve flag:5, 4.1050370782613754e-06, 273
40, tensor([0.0014]), fsolve flag:1, 7.434282451868057e-07, 538
41, tensor([0.0016]), fsolve flag:1, 1.8710852600634098e-07, 541
42, tensor([0.0017]), fsolve flag:5, 1.778826117515564e-06, 405
43, tensor([0.0035]), fsolve flag:1, 2.3208558559417725e-06, 405
44, tensor([0.0021]), fsolve flag:1, 3.525055944919586e-06, 538
45, tensor([0.0038]), fsolve flag:5, 2.237968146800995e-06, 402
46, tensor([0.0029]), fsolve flag:5, 2.0172446966171265e-06, 275
47, tensor([0.0017]), fsolve flag:1, 8.415699994657189e-07, 538
48, tensor([0.0110]), fsolve flag:1, 4.922039806842804e-07, 536
49, tensor([0.0021]), fsolve flag:5, 2.7513597160577774e-06, 269
50, tensor([0.0044]), fsolve flag:5, 2.0740553736686707e-06, 271
51, tensor([0.0071]), fsolve flag:5, 1.6847625374794006e-06, 816
52, tensor([0.0031]), fsolve flag:1, 2.2742897272109985e-06, 405
53, tensor([0.0022]), fsolve flag:5, 2.5930567062459886e-06, 402
54, tensor([0.0012]), fsolve flag:5, 4.6909553930163383e-07, 269
55, tensor([0.0015]), fsolve flag:1, 4.3795444071292877e-07, 543
56, tensor([0.0032]), fsolve flag:1, 2.680346369743347e-06, 536
57, tensor([0.0059]), fsolve flag:5, 8.149072527885437e-07, 273
58, tensor([0.0035]), fsolve flag:5, 3.0351802706718445e-06, 406
59, tensor([0.0013]), fsolve flag:5, 7.653143256902695e-07, 408
60, tensor([0.0023]), fsolve flag:1, 2.989545464515686e-06, 405
61, tensor([0.0013]), fsolve flag:1, 3.006716724485159e-07, 540
62, tensor([0.0022]), fsolve flag:5, 3.441702574491501e-06, 269
63, tensor([0.0018]), fsolve flag:5, 3.1152740120887756e-06, 404
64, tensor([0.0019]), fsolve flag:5, 1.95216853171587e-06, 405
65, tensor([0.0082]), fsolve flag:5, 6.211921572685242e-07, 273
66, tensor([0.0041]), fsolve flag:1, 1.9473955035209656e-06, 950
67, tensor([0.0012]), fsolve flag:1, 3.518944140523672e-07, 410
68, tensor([0.0063]), fsolve flag:1, 1.0030344128608704e-06, 408
69, tensor([0.0019]), fsolve flag:1, 9.300420060753822e-07, 539
70, tensor([0.0032]), fsolve flag:1, 2.6011839509010315e-06, 537
71, tensor([0.0112]), fsolve flag:5, 4.069879651069641e-07, 536
72, tensor([0.0018]), fsolve flag:5, 1.8633436411619186e-06, 269
73, tensor([0.0022]), fsolve flag:1, 1.2493692338466644e-06, 802
74, tensor([0.0016]), fsolve flag:1, 5.834735929965973e-07, 537
75, tensor([0.0023]), fsolve flag:1, 3.430992364883423e-06, 538
76, tensor([0.0021]), fsolve flag:4, 3.229244612157345e-06, 662
77, tensor([0.0025]), fsolve flag:1, 1.9101426005363464e-06, 406
78, tensor([0.0074]), fsolve flag:1, 1.0408693924546242e-06, 276
79, tensor([0.0090]), fsolve flag:5, 4.731118679046631e-07, 555
80, tensor([0.0145]), fsolve flag:5, 3.5855919122695923e-07, 404
81, tensor([0.0039]), fsolve flag:5, 2.299901098012924e-06, 405
82, tensor([0.0017]), fsolve flag:5, 1.9294675439596176e-06, 404
83, tensor([0.0122]), fsolve flag:1, 8.177012205123901e-07, 534
84, tensor([0.0044]), fsolve flag:1, 1.8291175365447998e-06, 823
85, tensor([0.0024]), fsolve flag:1, 3.462657332420349e-06, 406
86, tensor([0.0047]), fsolve flag:1, 1.7480924725532532e-06, 1211
87, tensor([0.0040]), fsolve flag:1, 1.3537355698645115e-06, 944
88, tensor([0.0033]), fsolve flag:1, 1.986045390367508e-06, 539
89, tensor([0.0037]), fsolve flag:1, 1.776963472366333e-06, 537
90, tensor([0.0020]), fsolve flag:5, 1.4295801520347595e-06, 536
91, tensor([0.0029]), fsolve flag:5, 2.186279743909836e-06, 271
92, tensor([0.0021]), fsolve flag:1, 3.7602148950099945e-06, 666
93, tensor([0.0022]), fsolve flag:1, 3.822380676865578e-06, 405
94, tensor([0.0015]), fsolve flag:1, 1.0923249647021294e-06, 537
95, tensor([0.0064]), fsolve flag:5, 6.07222318649292e-07, 417
96, tensor([0.0032]), fsolve flag:1, 2.4829059839248657e-06, 537
97, tensor([0.0026]), fsolve flag:5, 3.0063092708587646e-06, 404
98, tensor([0.0011]), fsolve flag:1, 2.6522320695221424e-07, 668
99, tensor([0.0040]), fsolve flag:1, 2.0833685994148254e-06, 1077
mean err: 0.0034086101222783327
