>> Device being used: cuda (NVIDIA GeForce RTX 4090)
Total number of parameters: 1321
>> Training Mesh resolution: 257x257
/root/autodl-tmp/project/MPNO_final/BlatzKo_1d/ex35/MLP/PNO_BB.py:140: UserWarning: torch.range is deprecated and will be removed in a future release because its behavior is inconsistent with Python's range builtin. Instead, use torch.arange, which produces values in [start, end).
  ksi_range = torch.range(-m_fact, m_fact).int()
tensor(0.8109)
tensor(3.3456)
>> Preprocessing completed, time elapsed:  0.40s
>> ntrain: 300, lr: 0.01, gamma: 0.6, w_d: 0.0
----------------------------------------------------------------------------------------------------
>> epoch [   1/3000], runtime: 3.09s, train loss: 2.3066e-04, valid loss: 1.0636e-04 , test loss: 4.8787e-03
>> epoch [   2/3000], runtime: 2.25s, train loss: 1.1558e-04, valid loss: 8.7208e-05 , test loss: 3.5061e-03
>> epoch [   3/3000], runtime: 2.88s, train loss: 8.5883e-05, valid loss: 4.4157e-05 , test loss: 1.7534e-03
>> epoch [   4/3000], runtime: 2.90s, train loss: 4.8898e-05, valid loss: 3.0799e-05 , test loss: 6.7355e-04
>> epoch [   5/3000], runtime:  2.48s, train loss: 5.4360e-05 (best: 4.8898e-05/3.0799e-05)
>> epoch [   6/3000], runtime: 2.90s, train loss: 4.3633e-05, valid loss: 3.0797e-05 , test loss: 9.3293e-04
>> epoch [   7/3000], runtime:  2.89s, train loss: 2.0570e-05 (best: 4.3633e-05/3.0797e-05)
>> epoch [   8/3000], runtime: 2.57s, train loss: 1.9965e-05, valid loss: 1.5721e-05 , test loss: 2.0870e-04
>> epoch [   9/3000], runtime:  2.66s, train loss: 1.8802e-05 (best: 1.9965e-05/1.5721e-05)
>> epoch [  10/3000], runtime:  2.82s, train loss: 2.9588e-05 (best: 1.9965e-05/1.5721e-05)
>> epoch [  11/3000], runtime:  2.89s, train loss: 2.1743e-05 (best: 1.9965e-05/1.5721e-05)
>> epoch [  12/3000], runtime:  2.88s, train loss: 2.0958e-05 (best: 1.9965e-05/1.5721e-05)
>> epoch [  13/3000], runtime:  2.89s, train loss: 1.1596e-05 (best: 1.9965e-05/1.5721e-05)
>> epoch [  14/3000], runtime:  2.91s, train loss: 1.5613e-05 (best: 1.9965e-05/1.5721e-05)
>> epoch [  15/3000], runtime: 2.90s, train loss: 1.4828e-05, valid loss: 1.2232e-05 , test loss: 1.9722e-04
>> epoch [  16/3000], runtime:  2.90s, train loss: 3.2007e-05 (best: 1.4828e-05/1.2232e-05)
>> epoch [  17/3000], runtime:  2.87s, train loss: 2.6044e-05 (best: 1.4828e-05/1.2232e-05)
>> epoch [  18/3000], runtime:  2.54s, train loss: 2.7375e-05 (best: 1.4828e-05/1.2232e-05)
>> epoch [  19/3000], runtime: 2.71s, train loss: 1.4754e-05, valid loss: 1.1156e-05 , test loss: 2.0199e-04
>> epoch [  20/3000], runtime:  2.91s, train loss: 1.9297e-05 (best: 1.4754e-05/1.1156e-05)
>> epoch [  21/3000], runtime:  2.89s, train loss: 1.6073e-05 (best: 1.4754e-05/1.1156e-05)
