PID: 5331
>> Device being used: cuda (NVIDIA GeForce RTX 4090)
Total number of parameters: 12673
>> Training Mesh resolution: 49x49
>> grid: torch.Size([2401, 2]), edge_index: torch.Size([2, 410273]), edge_attr: torch.Size([410273, 2])
>> Preprocessing completed, time elapsed:  61.72s
>> ntrain: 80, lr: 0.01, gamma: 0.5, w_d: 0.0
----------------------------------------------------------------------------------------------------
>> epoch [  1/500], runtime: 1.00s, train err: 1.3750e-01, valid err: 1.1288e-02 , test err: 1.1240e-02
>> epoch [  2/500], runtime: 0.79s, train err: 1.0471e-02, valid err: 8.3584e-03 , test err: 8.3847e-03
>> epoch [  3/500], runtime:  0.77s, train err: 8.7103e-03 (best: 1.0471e-02/8.3584e-03)
>> epoch [  4/500], runtime:  0.75s, train err: 9.3410e-03 (best: 1.0471e-02/8.3584e-03)
>> epoch [  5/500], runtime:  0.78s, train err: 9.1562e-03 (best: 1.0471e-02/8.3584e-03)
>> epoch [  6/500], runtime:  0.80s, train err: 8.7847e-03 (best: 1.0471e-02/8.3584e-03)
>> epoch [  7/500], runtime: 0.80s, train err: 9.0894e-03, valid err: 8.2620e-03 , test err: 8.3316e-03
>> epoch [  8/500], runtime:  0.77s, train err: 8.8818e-03 (best: 9.0894e-03/8.2620e-03)
>> epoch [  9/500], runtime:  0.77s, train err: 8.8520e-03 (best: 9.0894e-03/8.2620e-03)
>> epoch [ 10/500], runtime:  0.77s, train err: 8.8091e-03 (best: 9.0894e-03/8.2620e-03)
>> epoch [ 11/500], runtime: 0.76s, train err: 8.5324e-03, valid err: 8.2351e-03 , test err: 8.3064e-03
>> epoch [ 12/500], runtime:  0.75s, train err: 9.5425e-03 (best: 8.5324e-03/8.2351e-03)
>> epoch [ 13/500], runtime:  0.76s, train err: 9.4213e-03 (best: 8.5324e-03/8.2351e-03)
>> epoch [ 14/500], runtime:  0.76s, train err: 8.6876e-03 (best: 8.5324e-03/8.2351e-03)
>> epoch [ 15/500], runtime:  0.76s, train err: 8.8372e-03 (best: 8.5324e-03/8.2351e-03)
>> epoch [ 16/500], runtime:  0.75s, train err: 8.8172e-03 (best: 8.5324e-03/8.2351e-03)
>> epoch [ 17/500], runtime:  0.75s, train err: 9.5820e-03 (best: 8.5324e-03/8.2351e-03)
>> epoch [ 18/500], runtime:  0.77s, train err: 8.8624e-03 (best: 8.5324e-03/8.2351e-03)
>> epoch [ 19/500], runtime:  0.76s, train err: 8.8697e-03 (best: 8.5324e-03/8.2351e-03)
>> epoch [ 20/500], runtime:  0.79s, train err: 8.8586e-03 (best: 8.5324e-03/8.2351e-03)
>> epoch [ 21/500], runtime:  0.77s, train err: 8.7700e-03 (best: 8.5324e-03/8.2351e-03)
>> epoch [ 22/500], runtime:  0.76s, train err: 8.8574e-03 (best: 8.5324e-03/8.2351e-03)
>> epoch [ 23/500], runtime:  0.77s, train err: 9.2173e-03 (best: 8.5324e-03/8.2351e-03)
>> epoch [ 24/500], runtime:  0.80s, train err: 8.6864e-03 (best: 8.5324e-03/8.2351e-03)
>> epoch [ 25/500], runtime:  0.78s, train err: 8.8528e-03 (best: 8.5324e-03/8.2351e-03)
>> epoch [ 26/500], runtime:  0.74s, train err: 9.6047e-03 (best: 8.5324e-03/8.2351e-03)
>> epoch [ 27/500], runtime:  0.77s, train err: 8.5812e-03 (best: 8.5324e-03/8.2351e-03)
>> epoch [ 28/500], runtime:  0.76s, train err: 8.5616e-03 (best: 8.5324e-03/8.2351e-03)
>> epoch [ 29/500], runtime:  0.78s, train err: 8.7922e-03 (best: 8.5324e-03/8.2351e-03)
>> epoch [ 30/500], runtime:  0.76s, train err: 8.5936e-03 (best: 8.5324e-03/8.2351e-03)
>> epoch [ 31/500], runtime:  0.76s, train err: 8.7097e-03 (best: 8.5324e-03/8.2351e-03)
>> epoch [ 32/500], runtime: 0.76s, train err: 8.4508e-03, valid err: 8.2159e-03 , test err: 8.2916e-03
>> epoch [ 33/500], runtime:  0.78s, train err: 8.6953e-03 (best: 8.4508e-03/8.2159e-03)
>> epoch [ 34/500], runtime:  0.78s, train err: 8.9502e-03 (best: 8.4508e-03/8.2159e-03)
>> epoch [ 35/500], runtime:  0.78s, train err: 8.7296e-03 (best: 8.4508e-03/8.2159e-03)
>> epoch [ 36/500], runtime:  0.78s, train err: 8.7978e-03 (best: 8.4508e-03/8.2159e-03)
>> epoch [ 37/500], runtime:  0.77s, train err: 8.5650e-03 (best: 8.4508e-03/8.2159e-03)
>> epoch [ 38/500], runtime:  0.78s, train err: 8.6477e-03 (best: 8.4508e-03/8.2159e-03)
>> epoch [ 39/500], runtime:  0.78s, train err: 8.3703e-03 (best: 8.4508e-03/8.2159e-03)
>> epoch [ 40/500], runtime:  0.77s, train err: 8.6696e-03 (best: 8.4508e-03/8.2159e-03)
>> epoch [ 41/500], runtime:  0.77s, train err: 8.8740e-03 (best: 8.4508e-03/8.2159e-03)
>> epoch [ 42/500], runtime:  0.74s, train err: 8.6644e-03 (best: 8.4508e-03/8.2159e-03)
>> epoch [ 43/500], runtime:  0.75s, train err: 8.8617e-03 (best: 8.4508e-03/8.2159e-03)
>> epoch [ 44/500], runtime:  0.75s, train err: 8.5052e-03 (best: 8.4508e-03/8.2159e-03)
>> epoch [ 45/500], runtime:  0.76s, train err: 8.3643e-03 (best: 8.4508e-03/8.2159e-03)
>> epoch [ 46/500], runtime:  0.75s, train err: 8.6295e-03 (best: 8.4508e-03/8.2159e-03)
>> epoch [ 47/500], runtime:  0.76s, train err: 8.4427e-03 (best: 8.4508e-03/8.2159e-03)
>> epoch [ 48/500], runtime:  0.76s, train err: 8.8687e-03 (best: 8.4508e-03/8.2159e-03)
>> epoch [ 49/500], runtime:  0.75s, train err: 8.6945e-03 (best: 8.4508e-03/8.2159e-03)
>> epoch [ 50/500], runtime:  0.76s, train err: 8.4911e-03 (best: 8.4508e-03/8.2159e-03)
>> epoch [ 51/500], runtime:  0.75s, train err: 8.3538e-03 (best: 8.4508e-03/8.2159e-03)
>> epoch [ 52/500], runtime:  0.75s, train err: 8.3011e-03 (best: 8.4508e-03/8.2159e-03)
>> epoch [ 53/500], runtime:  0.76s, train err: 8.3222e-03 (best: 8.4508e-03/8.2159e-03)
>> epoch [ 54/500], runtime:  0.76s, train err: 8.4536e-03 (best: 8.4508e-03/8.2159e-03)
>> epoch [ 55/500], runtime: 0.78s, train err: 8.3747e-03, valid err: 8.1727e-03 , test err: 8.2752e-03
>> epoch [ 56/500], runtime:  0.77s, train err: 8.2831e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 57/500], runtime:  0.77s, train err: 8.3925e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 58/500], runtime:  0.79s, train err: 8.3513e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 59/500], runtime:  0.78s, train err: 8.3564e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 60/500], runtime:  0.78s, train err: 8.3380e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 61/500], runtime:  0.78s, train err: 8.4362e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 62/500], runtime:  0.77s, train err: 8.3540e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 63/500], runtime:  0.78s, train err: 8.3166e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 64/500], runtime:  0.77s, train err: 8.2662e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 65/500], runtime:  0.77s, train err: 8.5069e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 66/500], runtime:  0.77s, train err: 8.3198e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 67/500], runtime:  0.77s, train err: 8.3039e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 68/500], runtime:  0.79s, train err: 8.4873e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 69/500], runtime:  0.78s, train err: 8.2890e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 70/500], runtime:  0.80s, train err: 8.5385e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 71/500], runtime:  0.78s, train err: 8.2729e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 72/500], runtime:  0.76s, train err: 8.3007e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 73/500], runtime:  0.78s, train err: 8.2705e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 74/500], runtime:  0.78s, train err: 8.3113e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 75/500], runtime:  0.78s, train err: 8.3658e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 76/500], runtime:  0.77s, train err: 8.3732e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 77/500], runtime:  0.76s, train err: 8.4472e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 78/500], runtime:  0.77s, train err: 8.4819e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 79/500], runtime:  0.77s, train err: 8.3355e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 80/500], runtime:  0.77s, train err: 8.3280e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 81/500], runtime:  0.77s, train err: 8.3232e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 82/500], runtime:  0.77s, train err: 8.4817e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 83/500], runtime:  0.78s, train err: 8.3022e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 84/500], runtime:  0.79s, train err: 8.2920e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 85/500], runtime:  0.78s, train err: 8.3097e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 86/500], runtime:  0.78s, train err: 8.3072e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 87/500], runtime:  0.80s, train err: 8.2894e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 88/500], runtime:  0.77s, train err: 8.2846e-03 (best: 8.3747e-03/8.1727e-03)
>> epoch [ 89/500], runtime:  0.78s, train err: 8.2585e-03 (best: 8.3747e-03/8.1727e-03)
