file_index,file_name,timestep,dominant_mode,estimated_wave_number
1,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file1.mat,0,"(1,0)",1.000
1,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file1.mat,1,"(1,0)",1.000
1,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file1.mat,2,"(1,0)",1.000
1,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file1.mat,3,"(1,0)",1.000
1,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file1.mat,4,"(1,0)",1.000
1,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file1.mat,5,"(1,0)",1.000
1,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file1.mat,6,"(1,0)",1.000
1,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file1.mat,7,"(1,0)",1.000
1,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file1.mat,8,"(1,0)",1.000
1,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file1.mat,9,"(1,0)",1.000
1,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file1.mat,10,"(1,0)",1.000
1,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file1.mat,11,"(1,0)",1.000
1,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file1.mat,12,"(1,0)",1.000
1,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file1.mat,13,"(1,0)",1.000
1,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file1.mat,14,"(1,0)",1.000
1,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file1.mat,15,"(1,0)",1.000
1,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file1.mat,16,"(1,0)",1.000
1,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file1.mat,17,"(1,0)",1.000
